entry_time,exit_time,instrument,direction,signal_type,entry_price,stop_loss,original_stop_loss,take_profit,exit_price,exit_reason,pnl_points,pnl_usd,pnl_pct,rr_planned,rr_actual,zone_touches,sl_miss_points
2025-11-21 18:30:00,2025-11-21 19:30:00,SPX500,LONG,false_breakout_b1,6657.43994140625,6625.68994140625,6625.68994140625,6720.93994140625,6625.68994140625,sl_hit,-31.75,-500.0,-0.4769100476976057,2.0,-1.0,13,0
2025-11-24 14:30:00,2025-11-25 14:30:00,SPX500,LONG,false_breakout_b1,6670.0498046875,6680.0498046875,6625.68994140625,6758.76953125,6680.0498046875,sl_hit,10.0,112.71450428733392,0.0,2.0,0.0,14,0
2025-11-25 14:30:00,2025-12-02 15:30:00,SPX500,LONG,pin_bar,6700.27001953125,6710.27001953125,6625.68994140625,6849.43017578125,6849.43017578125,tp_hit,149.16015625,1000.0,0.0,2.0,0.0,15,0
2025-11-26 15:30:00,2025-12-04 18:30:00,SPX500,LONG,false_breakout_b1,6820.4501953125,6830.4501953125,6784.259765625,6892.8310546875,6830.4501953125,sl_hit,10.0,138.15807226314794,0.0,2.0,0.0,6,0
2025-12-05 19:30:00,2025-12-16 14:30:00,SPX500,LONG,pin_bar,6871.89990234375,6784.259765625,6784.259765625,7047.18017578125,6784.259765625,sl_hit,-87.64013671875,-500.0,-1.275340705833902,2.0,-1.0,11,0
2025-12-19 14:30:00,2025-12-23 15:30:00,SPX500,LONG,false_breakout_b1,6821.14990234375,6831.14990234375,6784.259765625,6894.93017578125,6894.93017578125,tp_hit,73.7802734375,1000.0,0.0,2.0,0.0,18,0
2025-12-22 14:30:00,2026-01-20 14:30:00,SPX500,LONG,pin_bar,6866.330078125,6876.330078125,6784.259765625,7030.470703125,6876.330078125,sl_hit,10.0,60.92336982389338,0.0,2.0,0.0,19,0
2025-12-30 18:30:00,2025-12-31 19:30:00,SPX500,LONG,pin_bar,6905.64990234375,6858.759765625,6858.759765625,6999.43017578125,6858.759765625,sl_hit,-46.89013671875,-500.0,-0.6790112065026013,2.0,-1.0,2,0
2026-01-05 15:30:00,2026-01-14 14:30:00,SPX500,LONG,pin_bar,6912.830078125,6922.830078125,6858.759765625,7020.970703125,6922.830078125,sl_hit,10.0,92.47218610027453,0.0,2.0,0.0,4,0
2026-01-23 16:30:00,2026-01-29 14:30:00,SPX500,LONG,pin_bar,6925.3701171875,6935.3701171875,6855.740234375,7064.6298828125,6935.3701171875,sl_hit,10.0,71.80824953366712,0.0,2.0,0.0,6,0
2026-01-29 17:30:00,2026-02-04 16:30:00,SPX500,LONG,pin_bar,6932.89990234375,6855.740234375,6855.740234375,7087.21923828125,6855.740234375,sl_hit,-77.15966796875,-500.0,-1.112949401485881,2.0,-1.0,7,0
2026-02-04 19:30:00,2026-02-05 14:30:00,SPX500,LONG,false_breakout_b1,6897.419921875,6855.740234375,6855.740234375,6980.779296875,6855.740234375,sl_hit,-41.6796875,-500.0,-0.604279396819293,2.0,-1.0,8,0
2026-02-18 14:30:00,2026-02-19 14:30:00,SPX500,LONG,false_breakout_b1,6897.080078125,6855.740234375,6855.740234375,6979.759765625,6855.740234375,sl_hit,-41.33984375,-500.0,-0.5993818149381036,2.0,-1.0,11,0
2026-02-25 15:30:00,2026-02-27 14:30:00,SPX500,LONG,pin_bar,6931.330078125,6855.740234375,6855.740234375,7082.509765625,6855.740234375,sl_hit,-75.58984375,-500.0,-1.0905532256869215,2.0,-1.0,13,0
