entry_time,exit_time,instrument,direction,signal_type,entry_price,stop_loss,original_stop_loss,take_profit,exit_price,exit_reason,pnl_points,pnl_usd,pnl_pct,rr_planned,rr_actual,zone_touches,sl_miss_points
2024-10-01 14:30:00,2024-10-14 13:30:00,NAS100,LONG,pin_bar,17842.853515625,17852.853515625,17558.634765625,18411.291015625,18411.291015625,tp_hit,568.4375,1000.0,0.0,2.0,0.0,13,0
2024-10-02 15:30:00,2024-10-14 13:30:00,NAS100,LONG,pin_bar,17968.9453125,17978.9453125,17764.681640625,18377.47265625,18377.47265625,tp_hit,408.52734375,1000.0,0.0,2.0,0.0,4,0
2024-12-20 16:30:00,2024-12-20 20:30:00,NAS100,LONG,false_breakout_b1,19757.76953125,19598.216796875,19598.216796875,20076.875,19598.216796875,sl_hit,-159.552734375,-500.0,-0.807544263144898,2.0,-1.0,7,0
2025-01-06 19:30:00,2025-01-07 15:30:00,NAS100,LONG,pin_bar,19850.96875,19598.216796875,19598.216796875,20356.47265625,19598.216796875,sl_hit,-252.751953125,-500.0,-1.2732474485659548,2.0,-1.0,10,0
2025-01-07 20:30:00,2025-01-10 14:30:00,NAS100,LONG,pin_bar,19493.685546875,19243.037109375,19243.037109375,19994.982421875,19243.037109375,sl_hit,-250.6484375,-500.0,-1.2857929656107592,2.0,-1.0,8,0
2025-01-15 14:30:00,2025-01-22 14:30:00,NAS100,LONG,false_breakout_b1,19482.541015625,19492.541015625,19243.037109375,19961.548828125,19961.548828125,tp_hit,479.0078125,1000.0,0.0,2.0,0.0,9,0
2025-01-21 16:30:00,2025-01-22 14:30:00,NAS100,LONG,false_breakout_b1,19715.126953125,19598.216796875,19598.216796875,19948.947265625,19948.947265625,tp_hit,233.8203125,1000.0,1.1859944552015054,2.0,2.0,11,0
2025-01-27 14:30:00,2025-01-27 19:30:00,NAS100,LONG,false_breakout_b1,19458.31640625,19243.037109375,19243.037109375,19888.875,19243.037109375,sl_hit,-215.279296875,-500.0,-1.1063613746452001,2.0,-1.0,11,0
2025-01-27 20:30:00,2025-01-28 14:30:00,NAS100,LONG,false_breakout_b1,19349.849609375,19243.037109375,19243.037109375,19563.474609375,19563.474609375,tp_hit,213.625,1000.0,1.104013748491868,2.0,2.0,11,0
2025-01-29 17:30:00,2025-01-31 19:30:00,NAS100,LONG,pin_bar,19587.9453125,19597.9453125,19243.037109375,20277.76171875,19597.9453125,sl_hit,10.0,14.496610850939732,0.0,2.0,0.0,12,0
2025-02-03 14:30:00,2025-02-04 14:30:00,NAS100,LONG,false_breakout_b1,19358.240234375,19368.240234375,19243.037109375,19588.646484375,19588.646484375,tp_hit,230.40625,1000.0,0.0,2.0,0.0,17,0
2025-05-13 13:30:00,2025-05-19 13:30:00,NAS100,LONG,false_breakout_b1,18954.869140625,18964.869140625,18773.869140625,19522.564453125,18964.869140625,sl_hit,10.0,27.624309392265193,0.0,3.136438190607735,0.0,5,0
2025-05-14 15:30:00,2025-05-15 13:30:00,NAS100,LONG,false_breakout_b1,19146.228515625,19041.55859375,19041.55859375,19522.564453125,19041.55859375,sl_hit,-104.669921875,-500.0,-0.546686893398249,3.5954544606370473,-1.0,6,0
2025-05-15 16:30:00,2025-05-15 18:30:00,NAS100,LONG,false_breakout_b1,19199.087890625,19041.55859375,19041.55859375,19514.146484375,19041.55859375,sl_hit,-157.529296875,-500.0,-0.8205040665078797,2.0,-1.0,6,0
2025-05-16 14:30:00,2025-05-23 13:30:00,NAS100,LONG,pin_bar,19108.611328125,18773.869140625,18773.869140625,19778.095703125,18773.869140625,sl_hit,-334.7421875,-500.0,-1.7517870961523505,2.0,-1.0,6,0
2025-05-16 15:30:00,2025-05-19 13:30:00,NAS100,LONG,false_breakout_b1,19146.203125,19041.55859375,19041.55859375,19355.4921875,19041.55859375,sl_hit,-104.64453125,-500.0,-0.5465550039702716,2.0,-1.0,6,0
