trade_id,entry_time,exit_time,direction,entry_price,sl,tp,exit_price,exit_reason,pnl_points,pnl_usd,pnl_r,balance,session,ob_zone_high,ob_zone_low,ob_confirmed_at
17,2026-01-12 16:42:00,2026-01-12 16:53:00,short,49289.2,49312.71,49230.42499999999,49312.71,sl,-25.51,-524.63,-1.085,96175.46,new_york,49292.71,49273.85,2026-01-12 10:25:00
18,2026-01-14 19:20:00,2026-01-14 22:29:00,long,48914.0,48835.95,49109.12500000001,49109.12500000001,tp,193.13,1189.87,2.474,97365.33,new_york,48917.95,48855.95,2026-01-14 19:15:00
19,2026-01-16 08:39:00,2026-01-16 13:52:00,short,49530.01,49556.51,49463.76,49463.76,tp,64.25,1180.32,2.425,98545.66,london,49536.51,49530.01,2026-01-16 08:30:00
20,2026-01-16 14:45:00,2026-01-16 16:41:00,long,49466.15,49407.01,49614.0,49407.01,sl,-61.14,-509.39,-1.034,98036.26,new_york,49466.15,49427.01,2026-01-16 14:45:00
21,2026-01-20 09:56:00,2026-01-20 10:19:00,short,48744.21,48783.91,48644.95999999999,48644.95999999999,tp,97.25,1200.76,2.45,99237.02,london,48763.91,48735.91,2026-01-20 09:20:00
22,2026-01-21 10:44:00,2026-01-21 11:46:00,short,48606.1,48627.15,48553.47499999999,48553.47499999999,tp,50.63,1193.32,2.405,100430.34,london,48607.15,48598.6,2026-01-21 09:55:00
23,2026-01-21 15:57:00,2026-01-21 16:04:00,short,48389.91,48432.91,48282.41,48432.91,sl,-45.0,-525.51,-1.047,99904.83,new_york,48412.91,48385.91,2026-01-21 15:30:00
24,2026-01-23 17:21:00,2026-01-23 17:52:00,short,49085.75,49156.7,48908.37500000001,49156.7,sl,-72.95,-513.61,-1.028,99391.23,new_york,49136.7,49069.7,2026-01-23 17:20:00
25,2026-01-23 18:41:00,2026-01-23 19:52:00,short,49149.7,49198.51,49027.67499999999,49027.67499999999,tp,120.03,1222.03,2.459,100613.26,new_york,49178.51,49141.51,2026-01-23 16:50:00
26,2026-01-26 14:25:00,2026-01-26 15:18:00,short,49093.9,49141.21,48975.62500000001,49141.21,sl,-49.31,-524.33,-1.042,100088.92,new_york,49121.21,49091.95,2026-01-26 13:55:00
27,2026-01-26 19:08:00,2026-01-26 20:17:00,short,49273.4,49364.4,49045.9,49364.4,sl,-93.0,-511.44,-1.022,99577.48,new_york,49344.4,49270.9,2026-01-26 18:10:00
28,2026-02-03 09:44:00,2026-02-03 11:30:00,long,49447.3,49412.75,49533.67500000001,49412.75,sl,-36.55,-526.71,-1.058,99050.77,london,49451.8,49432.75,2026-02-03 09:40:00
