direction,entry_price,sl,tp,entry_time,session,vwap_at_entry,balance_at_entry,exit_price,exit_time,exit_reason,pnl_points,pnl_usd,balance,equity
short,49457.58,49491.74691841715,49307.58,2026-02-13 23:40:00,other,49461.74691841715,97540.01860895686,49509.15980769231,2026-02-16 01:15:00,sl,-53.57980769230926,-53.57980769230926,97486.43880126455,97486.43880126455
short,49488.98,49524.85890011224,49338.98,2026-02-16 01:50:00,asia,49494.85890011224,97486.43880126455,49526.77404234368,2026-02-16 01:55:00,sl,-39.79404234367394,-39.79404234367394,97446.64475892088,97446.64475892088
short,49546.81,49581.469569938025,49396.81,2026-02-16 07:40:00,london,49551.469569938025,97446.64475892088,49582.11981525688,2026-02-16 08:40:00,sl,-37.309815256885486,-37.309815256885486,97409.334943664,97409.334943664
short,49623.41,49660.49614486234,49473.41,2026-02-16 16:25:00,new_york,49630.49614486234,97409.334943664,49657.947993403504,2026-02-16 17:00:00,sl,-36.53799340350088,-36.53799340350088,97372.7969502605,97372.7969502605
short,49621.6,49658.30052007935,49471.6,2026-02-16 17:10:00,new_york,49628.30052007935,97372.7969502605,49471.6,2026-02-17 03:30:00,tp,148.0,148.0,97520.7969502605,97520.7969502605
long,49465.31,49372.447147469495,49615.31,2026-02-17 10:00:00,london,49402.447147469495,97520.7969502605,49392.50930245124,2026-02-17 13:05:00,sl,-74.80069754875876,-74.80069754875876,97445.99625271175,97445.99625271175
long,49433.81,49392.11992013854,49583.81,2026-02-17 13:25:00,other,49422.11992013854,97445.99625271175,49394.43592243536,2026-02-17 14:30:00,sl,-41.374077564636536,-41.374077564636536,97404.62217514712,97404.62217514712
long,49425.81,49387.28383386813,49575.81,2026-02-17 15:25:00,new_york,49417.28383386813,97404.62217514712,49386.51539552151,2026-02-17 15:45:00,sl,-41.29460447849124,-41.29460447849124,97363.32757066863,97363.32757066863
long,49466.31,49387.28160944752,49616.31,2026-02-17 15:50:00,new_york,49417.28160944752,97363.32757066863,49616.31,2026-02-17 16:30:00,tp,148.0,148.0,97511.32757066863,97511.32757066863
short,49409.5,49467.07450387632,49259.5,2026-02-17 16:50:00,new_york,49437.07450387632,97511.32757066863,49259.5,2026-02-17 17:10:00,tp,148.0,148.0,97659.32757066863,97659.32757066863
long,49474.5,49370.440951630626,49624.5,2026-02-17 18:05:00,new_york,49400.440951630626,97659.32757066863,49624.5,2026-02-17 18:20:00,tp,148.0,148.0,97807.32757066863,97807.32757066863
short,49399.4,49459.36970082267,49249.4,2026-02-17 19:40:00,new_york,49429.36970082267,97807.32757066863,49458.62731397097,2026-02-17 19:55:00,sl,-61.22731397096504,-61.22731397096504,97746.10025669765,97746.10025669765
short,49413.3,49458.84105272452,49263.3,2026-02-17 20:05:00,other,49428.84105272452,97746.10025669765,49458.71849281138,2026-02-17 20:20:00,sl,-47.41849281137547,-47.41849281137547,97698.68176388627,97698.68176388627
short,49500.28,49539.446666666656,49350.28,2026-02-18 01:05:00,asia,49509.446666666656,97698.68176388627,49533.67573350417,2026-02-18 04:05:00,sl,-35.395733504170494,-35.395733504170494,97663.28603038209,97663.28603038209
short,49576.51,49656.70537020574,49426.51,2026-02-18 14:30:00,new_york,49626.70537020574,97663.28603038209,49656.23817143708,2026-02-18 15:10:00,sl,-81.72817143707653,-81.72817143707653,97581.55785894502,97581.55785894502
short,49622.51,49657.93629166897,49472.51,2026-02-18 15:40:00,new_york,49627.93629166897,97581.55785894502,49650.90689323378,2026-02-18 16:30:00,sl,-30.396893233781157,-30.396893233781157,97551.16096571123,97551.16096571123
long,49659.2,49591.56908076376,49809.2,2026-02-18 16:35:00,new_york,49621.56908076376,97551.16096571123,49809.2,2026-02-18 17:00:00,tp,148.0,148.0,97699.16096571123,97699.16096571123
