trade_id,entry_time,exit_time,direction,entry_price,sl,tp,exit_price,exit_reason,pnl_points,pnl_usd,pnl_r,balance,session,ob_zone_high,ob_zone_low,ob_confirmed_at
23,2026-03-09 18:35:00,2026-03-09 19:26:00,long,47055.1,46994.6,47206.35,47206.35,tp,149.25,1199.37,2.467,98434.58,new_york,47069.6,47014.6,2026-03-09 18:30:00
24,2026-03-10 14:04:00,2026-03-10 14:14:00,short,47910.71,47959.71,47788.21,47788.21,tp,120.5,1210.34,2.459,99644.93,new_york,47939.71,47899.71,2026-03-10 13:15:00
25,2026-03-10 15:04:00,2026-03-10 15:05:00,long,47605.71,47585.11,47657.20999999999,47585.11,sl,-22.6,-546.6,-1.097,99098.33,new_york,47620.11,47605.11,2026-03-10 09:05:00
26,2026-03-10 16:43:00,2026-03-10 16:45:00,long,47536.9,47503.71,47619.87500000001,47619.87500000001,tp,80.98,1208.87,2.44,100307.2,new_york,47569.21,47523.71,2026-03-10 15:50:00
27,2026-03-10 17:23:00,2026-03-10 17:26:00,short,47689.9,47716.21,47624.12500000001,47716.21,sl,-28.31,-539.66,-1.076,99767.54,new_york,47696.21,47683.71,2026-03-10 16:50:00
28,2026-03-11 14:02:00,2026-03-11 14:20:00,short,47829.81,47859.81,47754.81,47754.81,tp,73.0,1213.84,2.433,100981.38,new_york,47839.81,47816.81,2026-03-11 10:35:00
29,2026-03-11 14:43:00,2026-03-11 14:45:00,long,47638.31,47618.81,47687.06,47618.81,sl,-21.5,-556.69,-1.103,100424.69,new_york,47663.81,47638.81,2026-03-11 13:45:00
30,2026-03-11 15:42:00,2026-03-11 15:46:00,long,47516.31,47492.81,47575.06,47492.81,sl,-25.5,-544.86,-1.085,99879.83,new_york,47529.81,47512.81,2026-03-11 13:20:00
31,2026-03-11 17:11:00,2026-03-11 17:25:00,long,47488.5,47343.5,47851.0,47343.5,sl,-147.0,-506.29,-1.014,99373.54,new_york,47496.5,47363.5,2026-03-11 17:10:00
32,2026-03-11 17:43:00,2026-03-11 18:00:00,short,47524.5,47607.5,47317.0,47607.5,sl,-85.0,-508.84,-1.024,98864.7,new_york,47587.5,47510.5,2026-03-11 17:30:00
33,2026-03-12 14:30:00,2026-03-12 14:43:00,short,47165.91,47200.41,47079.66,47200.41,sl,-36.5,-522.98,-1.058,98341.72,new_york,47180.41,47149.91,2026-03-12 14:10:00
34,2026-03-12 15:06:00,2026-03-12 15:16:00,long,46990.41,46969.41,47042.91,47042.91,tp,50.5,1182.44,2.405,99524.17,new_york,47001.91,46989.41,2026-03-12 10:30:00
35,2026-03-12 16:22:00,2026-03-12 16:23:00,long,46888.41,46870.41,46933.41,46933.41,tp,43.0,1188.76,2.389,100712.93,new_york,46899.91,46890.41,2026-03-12 09:35:00
36,2026-03-13 13:47:00,2026-03-13 13:59:00,short,46771.51,46816.51,46659.01,46816.51,sl,-47.0,-525.95,-1.044,100186.98,new_york,46796.51,46768.01,2026-03-13 13:40:00
37,2026-03-13 13:50:00,2026-03-13 14:06:00,short,46813.01,46865.01,46683.01,46865.01,sl,-54.0,-522.93,-1.038,99664.05,new_york,46845.01,46812.01,2026-03-13 09:30:00
38,2026-03-13 14:55:00,2026-03-13 15:02:00,short,46881.51,46913.91,46800.509999999995,46913.91,sl,-34.4,-529.08,-1.062,99134.97,new_york,46893.91,46880.41,2026-03-13 07:15:00
