trade_id,entry_time,exit_time,direction,entry_price,sl,tp,exit_price,exit_reason,pnl_points,pnl_usd,pnl_r,balance,session,ob_zone_high,ob_zone_low,ob_confirmed_at
23,2026-01-14 13:48:00,2026-01-14 14:21:00,short,49048.31,49077.81,48974.56,49077.81,sl,-31.5,-565.8,-1.068,105410.28,new_york,49057.81,49048.31,2026-01-14 13:00:00
24,2026-01-14 19:16:00,2026-01-14 22:32:00,long,48917.95,48835.95,49122.95,49122.95,tp,203.0,1304.77,2.476,106715.06,new_york,48917.95,48855.95,2026-01-14 19:15:00
25,2026-01-16 14:46:00,2026-01-16 16:41:00,long,49466.15,49407.01,49614.0,49407.01,sl,-61.14,-551.62,-1.034,106163.44,new_york,49466.15,49427.01,2026-01-16 14:45:00
26,2026-01-16 19:18:00,2026-01-16 21:04:00,long,49408.1,49370.6,49501.85,49501.85,tp,91.75,1298.73,2.447,107462.17,new_york,49408.1,49390.6,2026-01-16 18:40:00
27,2026-01-19 17:59:00,2026-01-20 08:15:00,long,48920.7,48857.2,49079.45,48857.2,sl,-65.5,-554.23,-1.031,106907.93,new_york,48920.7,48877.2,2026-01-19 17:00:00
28,2026-01-20 15:18:00,2026-01-20 15:34:00,short,48743.71,48791.71,48623.71,48623.71,tp,118.0,1314.08,2.458,108222.01,new_york,48771.71,48743.71,2026-01-20 15:10:00
29,2026-01-21 15:58:00,2026-01-21 16:04:00,short,48385.91,48432.91,48268.41,48432.91,sl,-49.0,-564.14,-1.043,107657.88,new_york,48412.91,48385.91,2026-01-21 15:30:00
30,2026-01-21 19:00:00,2026-01-21 19:05:00,long,48787.1,48705.1,48992.1,48705.1,sl,-84.0,-551.42,-1.024,107106.46,new_york,48787.1,48725.1,2026-01-21 17:15:00
31,2026-01-22 15:32:00,2026-01-22 16:20:00,long,49251.51,49211.91,49350.509999999995,49350.509999999995,tp,97.0,1311.78,2.449,108418.24,new_york,49251.51,49231.91,2026-01-22 15:30:00
32,2026-01-22 18:57:00,2026-01-22 19:31:00,long,49493.05,49459.05,49578.05,49578.05,tp,83.0,1323.34,2.441,109741.58,new_york,49493.05,49479.05,2026-01-22 18:50:00
33,2026-01-23 14:44:00,2026-01-23 15:27:00,short,49277.01,49314.71,49182.76000000001,49182.76000000001,tp,92.25,1342.66,2.447,111084.24,new_york,49294.71,49277.01,2026-01-23 14:30:00
34,2026-01-23 17:26:00,2026-01-23 19:56:00,short,49141.51,49198.51,48999.01,48999.01,tp,140.5,1369.06,2.465,112453.31,new_york,49178.51,49141.51,2026-01-23 16:50:00
35,2026-01-26 14:25:00,2026-01-26 15:18:00,short,49091.95,49141.21,48968.79999999999,49141.21,sl,-51.26,-585.1,-1.041,111868.21,new_york,49121.21,49091.95,2026-01-26 13:55:00
36,2026-01-26 15:46:00,2026-01-26 15:58:00,short,49119.71,49166.71,49002.21,49166.71,sl,-49.0,-583.14,-1.043,111285.07,new_york,49146.71,49119.71,2026-01-26 15:40:00
37,2026-01-26 18:28:00,2026-01-26 20:17:00,short,49270.9,49364.4,49037.15,49364.4,sl,-95.5,-568.33,-1.021,110716.74,new_york,49344.4,49270.9,2026-01-26 18:10:00
38,2026-01-27 19:52:00,2026-01-27 20:05:00,long,48934.45,48866.5,49104.32499999999,48866.5,sl,-69.95,-569.88,-1.029,110146.86,new_york,48934.45,48886.5,2026-01-27 17:50:00
39,2026-01-29 16:49:00,2026-01-29 16:59:00,long,49016.51,48965.51,49144.01,48965.51,sl,-53.0,-572.33,-1.039,109574.53,new_york,49016.51,48985.51,2026-01-29 13:25:00
40,2026-02-04 16:25:00,2026-02-04 16:30:00,long,49319.21,49277.21,49424.21,49424.21,tp,103.0,1343.59,2.452,110918.12,new_york,49319.21,49297.21,2026-02-04 12:05:00
41,2026-02-06 17:56:00,2026-02-06 19:48:00,long,49712.6,49624.6,49932.6,49932.6,tp,218.0,1373.87,2.477,112292.0,new_york,49712.6,49644.6,2026-02-06 17:45:00
42,2026-02-09 13:49:00,2026-02-09 15:06:00,short,50067.31,50108.31,49964.81,50108.31,sl,-43.0,-588.85,-1.049,111703.15,new_york,50088.31,50067.31,2026-02-09 13:20:00
44,2026-02-10 14:32:00,2026-02-10 14:37:00,long,50142.5,50108.5,50227.5,50108.5,sl,-36.0,-591.37,-1.059,111111.78,new_york,50142.5,50128.5,2026-02-10 14:30:00
43,2026-02-10 13:46:00,2026-02-10 14:45:00,short,50148.5,50184.5,50058.5,50058.5,tp,88.0,1365.26,2.444,112477.04,new_york,50164.5,50148.5,2026-02-10 13:45:00
45,2026-02-10 16:04:00,2026-02-10 16:21:00,short,50133.95,50159.5,50070.07499999999,50159.5,sl,-27.55,-606.41,-1.078,111870.63,new_york,50139.5,50133.95,2026-02-10 14:50:00
46,2026-02-11 15:16:00,2026-02-11 15:30:00,long,50242.71,50196.31,50358.71000000001,50358.71000000001,tp,114.0,1374.27,2.457,113244.9,new_york,50242.71,50216.31,2026-02-11 15:15:00
47,2026-02-12 14:08:00,2026-02-12 15:02:00,long,50269.2,50233.2,50359.2,50233.2,sl,-38.0,-597.68,-1.056,112647.22,new_york,50269.2,50253.2,2026-02-12 13:00:00
