trade_id,entry_time,exit_time,direction,entry_price,sl,tp,exit_price,exit_reason,pnl_points,pnl_usd,pnl_r,balance,session,ob_zone_high,ob_zone_low,ob_confirmed_at
88,2026-01-22 18:56:00,2026-01-22 19:31:00,long,49492.55,49459.05,49576.3,49576.3,tp,81.75,1331.04,2.44,110419.7,new_york,49493.05,49479.05,2026-01-22 18:50:00
89,2026-01-23 14:30:00,2026-01-23 15:22:00,short,49282.2,49314.71,49200.92499999999,49200.92499999999,tp,79.28,1346.28,2.438,111765.98,new_york,49294.71,49277.01,2026-01-23 14:30:00
90,2026-01-23 14:33:00,2026-01-23 14:48:00,long,49245.61,49227.7,49290.38500000001,49290.38500000001,tp,42.78,1318.59,2.388,113084.57,new_york,49252.25,49247.7,2026-01-23 13:05:00
91,2026-01-23 14:51:00,2026-01-23 15:02:00,short,49300.75,49321.61,49248.6,49248.6,tp,50.15,1343.16,2.404,114427.74,new_york,49301.61,49300.61,2026-01-23 14:00:00
92,2026-01-23 17:20:00,2026-01-23 17:52:00,short,49085.75,49156.7,48908.37500000001,49156.7,sl,-72.95,-588.27,-1.028,113839.47,new_york,49136.7,49069.7,2026-01-23 17:20:00
93,2026-01-23 17:25:00,2026-01-23 19:56:00,short,49141.7,49198.51,48999.67499999999,48999.67499999999,tp,140.03,1410.2,2.465,115249.68,new_york,49178.51,49141.51,2026-01-23 16:50:00
94,2026-01-26 14:01:00,2026-01-26 15:18:00,short,49100.81,49141.21,48999.81,49141.21,sl,-42.4,-604.78,-1.05,114644.9,new_york,49121.21,49091.95,2026-01-26 13:55:00
95,2026-01-26 15:09:00,2026-01-26 15:58:00,short,49129.71,49157.95,49059.11,49157.95,sl,-30.24,-617.06,-1.071,114027.84,new_york,49137.95,49128.81,2026-01-26 11:40:00
96,2026-01-26 15:31:00,2026-01-26 16:00:00,long,49100.81,49073.9,49168.08499999999,49168.08499999999,tp,65.27,1390.46,2.426,115418.3,new_york,49101.9,49093.9,2026-01-26 15:05:00
97,2026-01-26 18:27:00,2026-01-26 20:17:00,short,49279.9,49364.4,49068.65,49364.4,sl,-86.5,-590.75,-1.024,114827.55,new_york,49344.4,49270.9,2026-01-26 18:10:00
98,2026-01-27 18:00:00,2026-01-27 18:31:00,short,49042.5,49118.5,48852.5,49118.5,sl,-78.0,-589.25,-1.026,114238.3,new_york,49098.5,49028.0,2026-01-27 17:15:00
99,2026-01-27 19:16:00,2026-01-27 20:05:00,long,48924.45,48866.5,49069.32499999999,48866.5,sl,-59.95,-590.9,-1.035,113647.4,new_york,48934.45,48886.5,2026-01-27 17:50:00
100,2026-01-29 16:01:00,2026-01-29 16:28:00,long,49008.51,48965.51,49116.01,48965.51,sl,-45.0,-594.67,-1.047,113052.73,new_york,49016.51,48985.51,2026-01-29 13:25:00
101,2026-01-29 19:19:00,2026-01-29 19:52:00,short,49034.15,49105.7,48855.27500000001,48855.27500000001,tp,176.87,1397.36,2.472,114450.09,new_york,49085.7,49031.2,2026-01-29 17:15:00
102,2026-01-30 15:11:00,2026-01-30 15:24:00,short,48882.01,48902.01,48832.01,48832.01,tp,48.0,1373.4,2.4,115823.49,new_york,48882.01,48874.01,2026-01-30 14:45:00
103,2026-01-30 15:24:00,2026-01-30 15:30:00,long,48831.51,48788.01,48940.26,48788.01,sl,-45.5,-605.74,-1.046,115217.75,new_york,48838.01,48808.01,2026-01-30 15:15:00
104,2026-01-30 16:19:00,2026-01-30 16:27:00,short,48862.51,48905.01,48756.26,48905.01,sl,-44.5,-603.2,-1.047,114614.55,new_york,48885.01,48855.51,2026-01-30 15:35:00
105,2026-01-30 17:05:00,2026-01-30 19:07:00,short,48907.9,49059.2,48529.65000000001,48529.65000000001,tp,376.25,1425.11,2.487,116039.65,new_york,49039.2,48905.51,2026-01-30 16:55:00
106,2026-01-30 17:26:00,2026-01-30 17:30:00,long,48852.9,48814.2,48949.65000000001,48814.2,sl,-40.7,-602.69,-1.052,115436.97,new_york,48870.2,48834.2,2026-01-30 17:15:00
107,2026-01-30 19:28:00,2026-01-30 19:35:00,short,48654.9,48692.9,48559.9,48559.9,tp,93.0,1412.58,2.447,116849.55,new_york,48672.9,48652.9,2026-01-30 19:15:00
108,2026-02-02 16:30:00,2026-02-02 16:31:00,long,48790.3,48822.11,48710.77500000001,48822.11,sl,29.81,547.51,0.937,117397.06,new_york,48844.11,48842.11,2026-02-02 15:55:00
