trade_id,entry_time,exit_time,direction,entry_price,sl,tp,exit_price,exit_reason,pnl_points,pnl_usd,pnl_r,balance,session,entry_method,fvg_type,fvg_zone_high,fvg_zone_low,fvg_confirmed_at
75,2025-12-26 15:28:00,2025-12-26 16:46:00,long,48672.73,48640.51,48753.280000000006,48753.280000000006,tp,78.55,1296.08,2.438,108915.78,new_york,conservative,bullish,48672.73,48665.51,2025-12-26 15:20:00
76,2025-12-26 17:15:00,2025-12-26 17:31:00,long,48648.61,48618.73,48723.31,48723.31,tp,72.7,1325.0,2.433,110240.77,new_york,conservative,bullish,48648.73,48643.73,2025-12-26 14:15:00
77,2025-12-26 18:16:00,2025-12-26 19:36:00,long,48632.68,48606.73,48697.55499999999,48606.73,sl,-27.95,-593.69,-1.077,109647.09,new_york,conservative,bullish,48633.73,48631.73,2025-12-26 14:05:00
78,2025-12-26 18:23:00,2025-12-26 18:47:00,short,48666.68,48684.28,48622.68,48622.68,tp,42.0,1315.37,2.386,110962.46,new_york,conservative,bearish,48669.23,48647.68,2025-12-26 18:15:00
79,2025-12-26 21:25:00,2025-12-26 22:57:00,long,48614.23,48578.23,48704.23,48704.23,tp,88.0,1356.21,2.444,112318.67,new_york,conservative,bullish,48614.73,48603.23,2025-12-26 20:35:00
80,2025-12-26 21:50:00,2025-12-26 22:57:00,long,48627.73,48595.23,48708.98,48708.98,tp,79.25,1352.89,2.438,113671.56,new_york,conservative,bullish,48628.73,48620.23,2025-12-26 21:35:00
81,2025-12-29 13:47:00,2025-12-29 14:30:00,long,48710.1,48684.1,48775.1,48684.1,sl,-28.0,-612.08,-1.077,113059.48,new_york,conservative,bullish,48710.1,48709.1,2025-12-29 13:45:00
82,2025-12-29 14:56:00,2025-12-29 15:48:00,short,48664.15,48681.446,48620.91,48620.91,tp,41.24,1347.88,2.384,114407.36,new_york,conservative,bearish,48666.1,48645.91,2025-12-29 14:45:00
83,2025-12-29 15:17:00,2025-12-29 15:48:00,long,48650.6,48620.91,48724.82499999998,48620.91,sl,-31.69,-603.38,-1.067,113803.98,new_york,conservative,bullish,48651.1,48645.91,2025-12-29 14:55:00
84,2025-12-29 16:53:00,2025-12-29 16:57:00,short,48594.01,48611.810000000005,48549.51,48549.51,tp,42.5,1358.61,2.388,115162.59,new_york,conservative,bearish,48626.01,48574.51,2025-12-29 16:45:00
85,2025-12-29 19:00:00,2025-12-29 19:25:00,long,48447.1,48413.1,48532.1,48413.1,sl,-36.0,-609.68,-1.059,114552.91,new_york,conservative,bullish,48452.1,48438.1,2025-12-29 18:55:00
86,2025-12-29 20:20:00,2025-12-30 09:23:00,long,48469.5,48429.9,48568.5,48429.9,sl,-41.6,-601.69,-1.051,113951.22,new_york,conservative,bullish,48469.5,48454.9,2025-12-29 20:20:00
87,2025-12-29 20:49:00,2025-12-29 21:00:00,long,48491.0,48465.5,48554.75,48465.5,sl,-27.5,-617.69,-1.078,113333.53,new_york,conservative,bullish,48500.5,48490.5,2025-12-29 20:35:00
88,2025-12-29 22:23:00,2025-12-29 22:42:00,long,48550.0,48523.5,48616.25,48523.5,sl,-28.5,-612.67,-1.075,112720.86,new_york,conservative,bullish,48551.0,48548.5,2025-12-29 22:15:00
89,2025-12-29 22:53:00,2025-12-30 09:23:00,long,48474.05,48435.5,48570.42500000001,48435.5,sl,-40.55,-596.01,-1.052,112124.85,new_york,conservative,bullish,48476.5,48460.5,2025-12-29 21:25:00
90,2025-12-30 13:59:00,2025-12-30 16:31:00,long,48474.7,48426.7,48594.7,48426.7,sl,-50.0,-583.98,-1.042,111540.87,new_york,conservative,bullish,48475.7,48451.7,2025-12-30 13:50:00
91,2025-12-30 15:28:00,2025-12-30 16:30:00,long,48463.61,48432.61,48541.11,48432.61,sl,-33.0,-596.79,-1.065,110944.07,new_york,conservative,bullish,48464.7,48457.61,2025-12-30 15:15:00
92,2025-12-30 16:47:00,2025-12-30 16:48:00,short,48423.51,48440.71,48380.51,48440.71,sl,-19.2,-619.22,-1.116,110324.85,new_york,conservative,bearish,48452.41,48405.51,2025-12-30 16:35:00
93,2025-12-30 17:02:00,2025-12-30 17:12:00,long,48422.61,48378.51,48532.86,48378.51,sl,-46.1,-576.64,-1.045,109748.21,new_york,conservative,bullish,48423.01,48403.51,2025-12-30 16:50:00
94,2025-12-30 17:58:00,2025-12-30 19:12:00,long,48365.7,48327.65,48460.82499999998,48327.65,sl,-40.05,-577.58,-1.053,109170.63,new_york,conservative,bullish,48365.7,48352.65,2025-12-30 17:55:00
95,2025-12-30 18:33:00,2025-12-30 18:40:00,long,48391.7,48366.2,48455.45,48366.2,sl,-27.5,-591.78,-1.078,108578.85,new_york,conservative,bullish,48397.7,48391.2,2025-12-30 18:20:00
96,2025-12-30 19:43:00,2025-12-31 02:48:00,long,48385.7,48345.7,48485.7,48345.7,sl,-42.0,-570.04,-1.05,108008.81,new_york,conservative,bullish,48393.7,48370.7,2025-12-30 19:35:00
97,2025-12-30 19:51:00,2025-12-30 20:46:00,short,48411.7,48426.899999999994,48373.7,48426.899999999994,sl,-17.2,-614.33,-1.132,107394.48,new_york,conservative,bearish,48416.7,48398.7,2025-12-30 18:35:00
98,2025-12-30 21:18:00,2025-12-30 21:55:00,long,48399.2,48371.7,48467.95,48371.7,sl,-29.5,-579.08,-1.073,106815.4,new_york,conservative,bullish,48399.7,48396.7,2025-12-30 19:55:00
99,2025-12-30 21:55:00,2025-12-31 02:52:00,long,48368.2,48338.7,48441.95,48338.7,sl,-31.5,-573.33,-1.068,106242.07,new_york,conservative,bullish,48368.7,48363.7,2025-12-30 19:30:00
100,2025-12-31 14:15:00,2025-12-31 15:51:00,long,48312.8,48285.8,48380.3,48380.3,tp,65.5,1288.68,2.426,107530.74,new_york,conservative,bullish,48312.8,48310.8,2025-12-31 14:15:00
101,2025-12-31 15:11:00,2025-12-31 16:34:00,long,48331.8,48304.8,48399.3,48304.8,sl,-29.0,-570.56,-1.074,106960.19,new_york,conservative,bullish,48332.3,48329.8,2025-12-31 14:30:00
102,2025-12-31 18:32:00,2025-12-31 19:08:00,long,48207.8,48173.8,48292.8,48173.8,sl,-36.0,-566.26,-1.059,106393.93,new_york,conservative,bullish,48207.8,48198.8,2025-12-31 18:20:00
103,2025-12-31 19:00:00,2025-12-31 19:07:00,long,48232.3,48203.8,48303.55,48203.8,sl,-30.5,-572.33,-1.07,105821.59,new_york,conservative,bullish,48233.8,48228.8,2025-12-31 18:55:00
104,2025-12-31 19:17:00,2025-12-31 19:56:00,short,48214.8,48230.200000000004,48176.3,48176.3,tp,36.5,1254.05,2.37,107075.65,new_york,conservative,bearish,48226.8,48201.3,2025-12-31 19:10:00
105,2025-12-31 20:19:00,2025-12-31 20:51:00,long,48202.8,48176.3,48269.05,48269.05,tp,64.25,1298.04,2.425,108373.69,new_york,conservative,bullish,48203.8,48201.3,2025-12-31 20:10:00
106,2025-12-31 20:48:00,2025-12-31 20:55:00,short,48259.3,48274.5,48221.3,48274.5,sl,-17.2,-605.82,-1.132,107767.87,new_york,conservative,bearish,48274.8,48246.3,2025-12-31 17:05:00
107,2025-12-31 21:14:00,2025-12-31 21:19:00,long,48272.8,48245.8,48340.3,48245.8,sl,-29.0,-578.75,-1.074,107189.11,new_york,conservative,bullish,48272.8,48270.8,2025-12-31 21:00:00
108,2025-12-31 21:19:00,2025-12-31 21:28:00,long,48244.8,48217.8,48312.3,48217.8,sl,-29.0,-575.65,-1.074,106613.47,new_york,conservative,bullish,48251.3,48242.8,2025-12-31 20:45:00
109,2025-12-31 21:27:00,2025-12-31 21:33:00,long,48219.8,48188.8,48297.3,48188.8,sl,-33.0,-570.52,-1.065,106042.95,new_york,conservative,bullish,48222.8,48213.8,2025-12-31 20:30:00
110,2025-12-31 22:40:00,2025-12-31 22:56:00,long,48119.8,48077.3,48226.05,48077.3,sl,-44.5,-555.17,-1.047,105487.78,new_york,conservative,bullish,48120.85,48102.3,2025-12-31 22:35:00
111,2026-01-02 14:10:00,2026-01-02 15:15:00,long,48260.95,48224.0,48353.32499999999,48224.0,sl,-38.95,-555.99,-1.054,104931.79,new_york,conservative,bullish,48261.95,48249.0,2026-01-02 13:35:00
112,2026-01-02 15:08:00,2026-01-02 15:31:00,long,48232.5,48206.0,48298.75,48206.0,sl,-28.5,-567.25,-1.075,104364.55,new_york,conservative,bullish,48233.81,48231.0,2026-01-02 12:50:00
113,2026-01-02 15:15:00,2026-01-02 15:41:00,long,48227.0,48198.0,48299.5,48198.0,sl,-31.0,-560.84,-1.069,103803.7,new_york,conservative,bullish,48228.5,48223.0,2026-01-02 12:45:00
114,2026-01-02 16:11:00,2026-01-02 16:30:00,long,48210.81,48175.0,48300.33499999999,48175.0,sl,-37.81,-548.01,-1.056,103255.7,new_york,conservative,bullish,48211.91,48200.0,2026-01-02 16:00:00
115,2026-01-02 17:12:00,2026-01-02 17:21:00,long,48059.9,47972.0,48279.65000000001,47972.0,sl,-89.9,-528.03,-1.023,102727.67,new_york,conservative,bullish,48064.9,47997.0,2026-01-02 17:00:00
116,2026-01-02 17:35:00,2026-01-02 17:36:00,short,48064.4,48079.4,48026.9,48079.4,sl,-17.0,-582.12,-1.133,102145.55,new_york,conservative,bearish,48088.9,48051.9,2026-01-02 17:15:00
117,2026-01-02 18:39:00,2026-01-02 18:49:00,long,48178.15,48119.8,48324.024999999994,48119.8,sl,-60.35,-528.23,-1.034,101617.32,new_york,conservative,bullish,48180.7,48144.8,2026-01-02 18:15:00
118,2026-01-02 19:37:00,2026-01-02 19:49:00,long,48191.2,48129.15,48346.32499999998,48129.15,sl,-64.05,-524.46,-1.032,101092.85,new_york,conservative,bullish,48207.65,48154.15,2026-01-02 19:15:00
119,2026-01-02 20:30:00,2026-01-02 20:49:00,long,48124.7,48099.2,48188.45,48099.2,sl,-27.5,-545.11,-1.078,100547.74,new_york,conservative,bullish,48126.7,48124.2,2026-01-02 20:20:00
120,2026-01-02 20:46:00,2026-01-02 20:49:00,short,48157.65,48173.05,48119.15,48119.15,tp,36.5,1198.02,2.37,101745.76,new_york,conservative,bearish,48160.7,48144.15,2026-01-02 19:50:00
121,2026-01-02 21:20:00,2026-01-05 08:49:00,long,48264.65,48201.7,48422.02500000001,48422.02500000001,tp,155.38,1255.66,2.468,103001.42,new_york,conservative,bullish,48266.65,48226.7,2026-01-02 21:15:00
122,2026-01-02 22:25:00,2026-01-02 22:46:00,long,48346.15,48309.7,48437.27500000001,48309.7,sl,-38.45,-536.64,-1.055,102464.78,new_york,conservative,bullish,48351.7,48334.7,2026-01-02 21:35:00
123,2026-01-05 14:24:00,2026-01-05 14:31:00,long,48391.4,48361.4,48466.4,48361.4,sl,-32.0,-546.48,-1.067,101918.3,new_york,conservative,bullish,48391.4,48386.4,2026-01-05 13:20:00
124,2026-01-05 14:29:00,2026-01-05 15:05:00,long,48374.31,48347.31,48441.81,48347.31,sl,-29.0,-550.27,-1.074,101368.02,new_york,conservative,bullish,48375.81,48372.31,2026-01-05 06:40:00
125,2026-01-05 14:32:00,2026-01-05 15:08:00,long,48361.21,48331.81,48434.71000000001,48331.81,sl,-31.4,-544.26,-1.068,100823.77,new_york,conservative,bullish,48363.21,48356.81,2026-01-05 06:20:00
126,2026-01-05 15:37:00,2026-01-05 15:46:00,short,48368.21,48384.01,48328.71,48384.01,sl,-17.8,-567.93,-1.127,100255.83,new_york,conservative,bearish,48373.31,48353.71,2026-01-05 15:05:00
127,2026-01-05 16:50:00,2026-01-05 17:03:00,long,48863.4,48817.4,48978.4,48978.4,tp,113.0,1231.4,2.457,101487.24,new_york,conservative,bullish,48890.4,48842.4,2026-01-05 16:45:00
128,2026-01-05 18:45:00,2026-01-05 19:06:00,long,49081.35,49051.35,49156.35,49156.35,tp,73.0,1234.76,2.433,102722.0,new_york,conservative,bullish,49083.35,49076.35,2026-01-05 18:40:00
129,2026-01-05 21:13:00,2026-01-05 21:36:00,long,49160.5,49127.5,49243.0,49127.5,sl,-35.0,-544.74,-1.061,102177.26,new_york,conservative,bullish,49160.5,49152.5,2026-01-05 20:30:00
130,2026-01-05 21:17:00,2026-01-05 21:32:00,short,49187.5,49202.5,49150.0,49150.0,tp,35.5,1215.54,2.367,103392.8,new_york,conservative,bearish,49193.5,49175.0,2026-01-05 21:10:00
131,2026-01-05 22:31:00,2026-01-05 22:40:00,short,49065.0,49080.4,49026.5,49026.5,tp,36.5,1225.27,2.37,104618.08,new_york,conservative,bearish,49081.5,49051.5,2026-01-05 22:20:00
132,2026-01-06 13:58:00,2026-01-06 14:58:00,long,48881.2,48851.2,48956.2,48956.2,tp,73.0,1272.85,2.433,105890.93,new_york,conservative,bullish,48882.21,48876.2,2026-01-06 12:25:00
133,2026-01-06 14:19:00,2026-01-06 15:40:00,long,48897.21,48872.2,48959.735,48959.735,tp,60.53,1265.9,2.42,107156.83,new_york,conservative,bullish,48897.21,48897.2,2026-01-06 14:15:00
134,2026-01-06 15:10:00,2026-01-06 16:38:00,long,48923.25,48881.7,49027.12500000001,49027.12500000001,tp,101.88,1298.15,2.452,108454.98,new_york,conservative,bullish,48924.7,48906.7,2026-01-06 14:45:00
135,2026-01-06 15:44:00,2026-01-06 15:50:00,long,48942.11,48910.11,49022.11,48910.11,sl,-34.0,-569.27,-1.062,107885.71,new_york,conservative,bullish,48942.11,48935.11,2026-01-06 15:40:00
