trade_id,entry_time,exit_time,direction,entry_price,sl,tp,exit_price,exit_reason,pnl_points,pnl_usd,pnl_r,balance,session,entry_method,fvg_type,fvg_zone_high,fvg_zone_low,fvg_confirmed_at
251,2026-01-16 21:38:00,2026-01-19 01:05:00,short,49460.3,49507.3,49295.8,49295.8,tp,162.5,1687.66,3.457,98795.23,new_york,conservative,bearish,49482.3,49458.85,2026-01-16 21:15:00
252,2026-01-16 21:51:00,2026-01-16 22:00:00,long,49437.3,49405.85,49547.375000000015,49405.85,sl,-33.45,-516.41,-1.064,98278.82,new_york,conservative,bullish,49437.3,49430.85,2026-01-16 21:35:00
253,2026-01-16 22:50:00,2026-01-19 01:05:00,short,49379.3,49417.3,49246.3,49246.3,tp,131.0,1664.93,3.447,99943.75,new_york,conservative,bearish,49392.3,49378.8,2026-01-16 22:30:00
254,2026-01-19 13:50:00,2026-01-19 14:37:00,short,48920.11,48958.61,48785.36,48958.61,sl,-40.5,-525.68,-1.052,99418.07,new_york,conservative,bearish,48933.61,48918.11,2026-01-19 12:35:00
255,2026-01-19 13:56:00,2026-01-19 14:45:00,long,48910.2,48880.11,49015.514999999985,49015.514999999985,tp,103.31,1715.8,3.434,101133.87,new_york,conservative,bullish,48911.11,48905.11,2026-01-19 13:50:00
256,2026-01-19 14:39:00,2026-01-19 14:45:00,short,48969.01,49014.01,48811.51,49014.01,sl,-47.0,-519.18,-1.044,100614.69,new_york,conservative,bearish,48989.01,48965.51,2026-01-19 11:20:00
257,2026-01-19 14:45:00,2026-01-19 16:31:00,short,49019.51,49049.01,48916.26,48916.26,tp,101.25,1726.65,3.432,102341.34,new_york,conservative,bearish,49024.01,49015.01,2026-01-19 11:05:00
258,2026-01-19 14:47:00,2026-01-19 16:31:00,short,49011.51,49038.11,48918.41,48918.41,tp,91.1,1722.93,3.425,104064.27,new_york,conservative,bearish,49013.11,49008.01,2026-01-19 11:10:00
259,2026-01-19 17:02:00,2026-01-19 18:10:00,short,48952.7,48980.61,48855.014999999985,48980.61,sl,-29.91,-557.61,-1.072,103506.66,new_york,conservative,bearish,48955.61,48948.51,2026-01-19 16:20:00
260,2026-01-19 17:32:00,2026-01-20 02:18:00,long,48926.2,48886.15,49066.374999999985,48886.15,sl,-42.05,-546.3,-1.05,102960.36,new_york,conservative,bullish,48928.15,48911.15,2026-01-19 16:50:00
261,2026-01-19 18:22:00,2026-01-19 18:29:00,long,48943.7,48903.15,49085.624999999985,48903.15,sl,-42.55,-543.06,-1.049,102417.3,new_york,conservative,bullish,48953.2,48928.15,2026-01-19 18:05:00
262,2026-01-19 18:36:00,2026-01-20 08:34:00,short,48932.7,48999.2,48699.95,48699.95,tp,230.75,1786.38,3.47,104203.68,new_york,conservative,bearish,48974.2,48930.7,2026-01-19 18:25:00
263,2026-01-20 14:13:00,2026-01-20 14:44:00,short,48695.21,48741.21,48534.21,48741.21,sl,-48.0,-543.67,-1.043,103660.01,new_york,conservative,bearish,48716.21,48691.21,2026-01-20 14:05:00
264,2026-01-20 14:55:00,2026-01-20 15:13:00,long,48757.21,48719.21,48890.21,48719.21,sl,-40.0,-545.58,-1.053,103114.43,new_york,conservative,bullish,48757.21,48744.21,2026-01-20 14:50:00
265,2026-01-20 14:57:00,2026-01-20 15:33:00,long,48740.21,48678.71,48955.46,48678.71,sl,-63.5,-535.16,-1.033,102579.27,new_york,conservative,bullish,48741.21,48703.71,2026-01-20 14:45:00
266,2026-01-20 16:20:00,2026-01-20 16:30:00,long,48600.21,48567.21,48715.71,48715.71,tp,113.5,1764.05,3.439,104343.32,new_york,conservative,bullish,48608.21,48592.21,2026-01-20 12:25:00
267,2026-01-20 17:55:00,2026-01-20 19:45:00,long,48819.2,48672.7,49331.95,48672.7,sl,-148.5,-528.84,-1.014,103814.48,new_york,conservative,bullish,48821.7,48697.7,2026-01-20 17:25:00
268,2026-01-20 18:29:00,2026-01-20 18:39:00,short,48790.7,48826.7,48664.7,48826.7,sl,-38.0,-550.7,-1.056,103263.78,new_york,conservative,bearish,48801.7,48789.7,2026-01-20 18:20:00
269,2026-01-20 20:56:00,2026-01-21 03:24:00,short,48538.35,48586.35,48370.35,48586.35,sl,-50.0,-537.83,-1.042,102725.95,new_york,conservative,bearish,48561.35,48532.35,2026-01-20 20:50:00
270,2026-01-21 14:53:00,2026-01-21 16:04:00,short,48386.91,48416.41,48283.66,48416.41,sl,-31.5,-548.45,-1.068,102177.5,new_york,conservative,bearish,48391.41,48386.41,2026-01-21 14:45:00
