trade_id,entry_time,exit_time,direction,entry_price,sl,tp,exit_price,exit_reason,pnl_points,pnl_usd,pnl_r,balance,session,entry_method,fvg_type,fvg_zone_high,fvg_zone_low,fvg_confirmed_at
1604,2026-03-16 04:49:00,2026-03-16 04:56:00,short,5005.28,5015.35,4985.1399999999985,5015.35,sl,-13.07,-36.74,-1.298,5624.66,asia,conservative,bearish,5012.35,5005.28,2026-03-16 04:20:00
1605,2026-03-16 05:07:00,2026-03-16 05:31:00,long,5012.28,5006.81,5023.219999999998,5006.81,sl,-8.47,-43.55,-1.548,5581.11,asia,conservative,bullish,5012.28,5009.81,2026-03-16 05:05:00
1606,2026-03-16 05:52:00,2026-03-16 06:47:00,long,5002.96,4994.62,5019.64,5019.64,tp,13.68,45.77,1.64,5626.89,asia,conservative,bullish,5002.96,4997.62,2026-03-16 04:50:00
1607,2026-03-16 08:16:00,2026-03-16 09:15:00,long,5010.25,5001.48,5027.790000000001,5027.790000000001,tp,14.54,46.64,1.658,5673.53,asia,conservative,bullish,5010.25,5004.48,2026-03-16 06:35:00
1608,2026-03-16 09:15:00,2026-03-16 09:16:00,long,5015.92,5008.96,5029.84,5029.84,tp,10.92,44.51,1.569,5718.04,asia,conservative,bullish,5015.92,5011.96,2026-03-16 08:50:00
1609,2026-03-16 09:35:00,2026-03-16 09:47:00,long,5026.04,5019.14,5039.839999999999,5019.14,sl,-9.9,-41.02,-1.435,5677.02,asia,conservative,bullish,5026.04,5022.14,2026-03-16 09:20:00
1610,2026-03-16 10:24:00,2026-03-16 10:28:00,long,5003.9,4998.54,5014.619999999999,4998.54,sl,-8.36,-44.27,-1.56,5632.75,london,conservative,bullish,5003.9,5001.54,2026-03-16 06:30:00
1611,2026-03-16 10:45:00,2026-03-16 11:13:00,long,4996.02,4988.85,5010.360000000001,4988.85,sl,-10.17,-39.95,-1.418,5592.8,london,conservative,bullish,4996.02,4991.85,2026-03-16 04:45:00
1612,2026-03-16 11:13:00,2026-03-16 12:02:00,short,4998.47,5005.35,4984.71,4984.71,tp,10.76,43.73,1.564,5636.53,london,conservative,bearish,5002.35,4998.47,2026-03-16 10:45:00
1613,2026-03-16 12:16:00,2026-03-16 12:46:00,short,4986.36,4993.03,4973.0199999999995,4973.0199999999995,tp,10.34,43.69,1.55,5680.22,london,conservative,bearish,4990.03,4986.36,2026-03-16 12:10:00
1614,2026-03-16 13:43:00,2026-03-16 13:51:00,long,4983.98,4978.41,4995.119999999999,4995.119999999999,tp,8.14,41.51,1.461,5721.73,london,conservative,bullish,4983.98,4981.41,2026-03-16 13:30:00
1615,2026-03-16 14:31:00,2026-03-16 14:49:00,long,5017.64,5010.86,5031.200000000002,5010.86,sl,-9.78,-41.27,-1.442,5680.46,london,conservative,bullish,5017.64,5013.86,2026-03-16 14:30:00
1616,2026-03-16 14:49:00,2026-03-16 14:59:00,short,5013.9,5024.0,4993.699999999999,4993.699999999999,tp,17.2,48.37,1.703,5728.83,london,conservative,bearish,5021.0,5013.9,2026-03-16 09:55:00
1617,2026-03-16 15:09:00,2026-03-16 15:19:00,short,5000.1,5013.58,4973.140000000001,5013.58,sl,-16.48,-35.02,-1.223,5693.81,london,conservative,bearish,5010.58,5000.1,2026-03-16 15:00:00
1618,2026-03-16 17:32:00,2026-03-16 17:41:00,long,5012.41,5003.77,5029.689999999999,5003.77,sl,-11.64,-38.35,-1.347,5655.46,london,conservative,bullish,5012.41,5006.77,2026-03-16 15:25:00
1619,2026-03-16 17:49:00,2026-03-16 19:26:00,long,4992.4,4982.68,5011.839999999998,4982.68,sl,-12.72,-37.0,-1.309,5618.45,london,conservative,bullish,4992.4,4985.68,2026-03-16 13:55:00
1620,2026-03-16 19:26:00,2026-03-16 19:27:00,short,5002.3,5009.32,4988.260000000001,4988.260000000001,tp,11.04,44.18,1.573,5662.63,london,conservative,bearish,5006.32,5002.3,2026-03-16 17:50:00
1621,2026-03-16 19:27:00,2026-03-16 19:28:00,short,4995.82,5004.01,4979.439999999999,4979.439999999999,tp,13.38,46.26,1.634,5708.89,london,conservative,bearish,5001.01,4995.82,2026-03-16 18:35:00
1622,2026-03-16 19:37:00,2026-03-16 19:49:00,short,4982.57,4990.22,4967.269999999999,4990.22,sl,-10.65,-39.74,-1.392,5669.15,new_york,conservative,bearish,4987.22,4982.57,2026-03-16 19:35:00
1623,2026-03-16 19:49:00,2026-03-16 20:00:00,short,4987.9,4995.66,4972.379999999999,4995.66,sl,-10.76,-39.3,-1.387,5629.84,new_york,conservative,bearish,4992.66,4987.9,2026-03-16 19:30:00
1624,2026-03-16 20:47:00,2026-03-16 21:08:00,short,4990.3,4997.86,4975.180000000001,4997.86,sl,-10.56,-39.32,-1.397,5590.52,new_york,conservative,bearish,4994.86,4990.3,2026-03-16 20:40:00
1625,2026-03-16 21:44:00,2026-03-17 01:24:00,short,5014.92,5022.63,4999.5,4999.5,tp,12.42,45.03,1.611,5635.55,new_york,conservative,bearish,5019.63,5014.92,2026-03-16 17:35:00
1626,2026-03-17 01:24:00,2026-03-17 03:43:00,short,5011.02,5017.25,4998.560000000001,4998.560000000001,tp,9.46,42.79,1.518,5678.34,asia,conservative,bearish,5014.25,5011.02,2026-03-16 23:40:00
1627,2026-03-17 05:05:00,2026-03-17 07:44:00,long,5025.1,5018.24,5038.8200000000015,5038.8200000000015,tp,10.72,44.37,1.563,5722.71,asia,conservative,bullish,5025.1,5021.24,2026-03-17 05:00:00
1628,2026-03-17 07:44:00,2026-03-17 07:45:00,long,5027.04,5020.45,5040.22,5040.22,tp,10.18,44.2,1.545,5766.91,asia,conservative,bullish,5027.04,5023.45,2026-03-17 06:25:00
1629,2026-03-17 07:58:00,2026-03-17 08:45:00,long,5037.82,5031.37,5050.719999999999,5031.37,sl,-9.45,-42.25,-1.465,5724.66,asia,conservative,bullish,5037.82,5034.37,2026-03-17 07:50:00
1630,2026-03-17 10:46:00,2026-03-17 12:12:00,long,5023.44,5015.38,5039.559999999999,5015.38,sl,-11.06,-39.28,-1.372,5685.38,london,conservative,bullish,5023.44,5018.38,2026-03-17 10:40:00
1631,2026-03-17 15:48:00,2026-03-17 16:32:00,long,5012.54,5007.35,5022.919999999999,5022.919999999999,tp,7.38,40.42,1.422,5725.81,london,conservative,bullish,5012.54,5010.35,2026-03-17 15:25:00
1632,2026-03-17 17:09:00,2026-03-17 18:27:00,short,5017.57,5025.6,5001.509999999998,5001.509999999998,tp,13.06,46.56,1.626,5772.37,london,conservative,bearish,5022.6,5017.57,2026-03-17 17:00:00
1633,2026-03-17 19:19:00,2026-03-17 20:24:00,short,5000.5,5008.58,4984.34,5008.58,sl,-11.08,-39.58,-1.371,5732.79,new_york,conservative,bearish,5005.58,5000.5,2026-03-17 18:35:00
1634,2026-03-18 03:23:00,2026-03-18 04:01:00,long,5006.74,5000.04,5020.139999999999,5000.04,sl,-9.7,-41.5,-1.448,5691.29,asia,conservative,bullish,5006.74,5003.04,2026-03-18 03:10:00
1635,2026-03-18 04:01:00,2026-03-18 04:09:00,short,5007.16,5012.46,4996.5599999999995,5012.46,sl,-8.3,-44.56,-1.566,5646.73,asia,conservative,bearish,5009.46,5007.16,2026-03-18 03:25:00
1636,2026-03-18 04:32:00,2026-03-18 04:37:00,long,5007.95,5002.66,5018.53,5002.66,sl,-8.29,-44.25,-1.567,5602.48,asia,conservative,bullish,5007.95,5005.66,2026-03-18 04:10:00
1637,2026-03-18 05:04:00,2026-03-18 05:20:00,short,4999.16,5004.75,4987.98,5004.75,sl,-8.59,-43.05,-1.537,5559.44,asia,conservative,bearish,5001.75,4999.16,2026-03-18 04:55:00
1638,2026-03-18 06:07:00,2026-03-18 08:37:00,short,4992.54,4997.96,4981.7,4997.96,sl,-8.42,-43.18,-1.554,5516.25,asia,conservative,bearish,4994.96,4992.54,2026-03-18 06:05:00
1639,2026-03-18 08:37:00,2026-03-18 09:11:00,short,4996.06,5004.24,4979.700000000002,5004.24,sl,-11.18,-37.7,-1.367,5478.56,asia,conservative,bearish,5001.24,4996.06,2026-03-18 06:00:00
1640,2026-03-18 09:11:00,2026-03-18 09:13:00,long,4995.86,4990.26,5007.059999999999,5007.059999999999,tp,8.2,40.11,1.464,5518.67,asia,conservative,bullish,4995.86,4993.26,2026-03-18 08:45:00
1641,2026-03-18 09:18:00,2026-03-18 09:36:00,short,5009.42,5014.84,4998.58,5014.84,sl,-8.42,-42.87,-1.554,5475.8,asia,conservative,bearish,5011.84,5009.42,2026-03-18 04:35:00
1642,2026-03-18 10:20:00,2026-03-18 10:46:00,long,5007.14,4999.94,5021.540000000002,4999.94,sl,-10.2,-38.79,-1.417,5437.01,london,conservative,bullish,5007.14,5002.94,2026-03-18 09:20:00
