trade_id,entry_time,exit_time,direction,entry_price,sl,tp,exit_price,exit_reason,pnl_points,pnl_usd,pnl_r,balance,session,entry_method,fvg_type,fvg_zone_high,fvg_zone_low,fvg_confirmed_at
367,2026-01-22 19:00:00,2026-01-22 19:31:00,long,49481.1,49453.05,49579.27499999998,49579.27499999998,tp,96.17,3551.47,3.429,209670.4,new_york,aggressive,bullish,49481.1,49478.05,2026-01-22 18:10:00
368,2026-01-22 19:38:00,2026-01-22 20:15:00,long,49586.05,49516.55,49829.3,49516.55,sl,-71.5,-1083.88,-1.029,208586.51,new_york,aggressive,bullish,49586.05,49541.55,2026-01-22 19:35:00
369,2026-01-22 20:15:00,2026-01-22 20:58:00,long,49530.6,49483.6,49695.1,49483.6,sl,-49.0,-1092.75,-1.043,207493.77,new_york,aggressive,bullish,49530.6,49508.6,2026-01-22 19:10:00
370,2026-01-22 21:09:00,2026-01-22 21:39:00,long,49544.6,49482.6,49761.6,49482.6,sl,-64.0,-1076.32,-1.032,206417.45,new_york,aggressive,bullish,49544.6,49507.6,2026-01-22 21:05:00
371,2026-01-22 21:40:00,2026-01-22 22:30:00,short,49495.55,49537.6,49348.375000000015,49348.375000000015,tp,145.17,3581.22,3.452,209998.66,new_york,aggressive,bearish,49512.6,49495.55,2026-01-22 21:40:00
372,2026-01-22 22:32:00,2026-01-23 08:04:00,short,49372.6,49431.6,49166.1,49431.6,sl,-61.0,-1090.98,-1.034,208907.69,new_york,aggressive,bearish,49406.6,49372.6,2026-01-22 22:30:00
373,2026-01-23 13:49:00,2026-01-23 15:26:00,short,49290.21,49319.61,49187.31,49187.31,tp,100.9,3602.72,3.432,212510.41,new_york,aggressive,bearish,49294.61,49290.21,2026-01-23 13:45:00
374,2026-01-23 15:31:00,2026-01-23 16:39:00,short,49178.51,49213.51,49056.01,49056.01,tp,120.5,3676.16,3.443,216186.57,new_york,aggressive,bearish,49188.51,49178.51,2026-01-23 15:30:00
375,2026-01-23 16:40:00,2026-01-23 16:55:00,short,49076.7,49106.7,48971.7,49106.7,sl,-32.0,-1158.56,-1.067,215028.02,new_york,aggressive,bearish,49081.7,49076.7,2026-01-23 16:40:00
376,2026-01-23 16:57:00,2026-01-23 17:55:00,short,49129.2,49163.51,49009.114999999976,49163.51,sl,-36.31,-1143.33,-1.058,213884.69,new_york,aggressive,bearish,49138.51,49129.2,2026-01-23 16:35:00
377,2026-01-23 19:48:00,2026-01-23 21:21:00,short,49075.75,49138.75,48855.25,49138.75,sl,-65.0,-1108.75,-1.032,212775.93,new_york,aggressive,bearish,49113.75,49075.75,2026-01-23 19:45:00
378,2026-01-23 21:38:00,2026-01-23 23:20:00,long,49067.25,49007.75,49275.5,49007.75,sl,-61.5,-1105.03,-1.034,211670.9,new_york,aggressive,bullish,49067.25,49032.75,2026-01-23 21:05:00
379,2026-01-26 13:45:00,2026-01-26 15:08:00,short,49093.4,49123.81,48986.96500000001,49123.81,sl,-32.41,-1127.96,-1.066,210542.94,new_york,aggressive,bearish,49098.81,49093.4,2026-01-26 13:45:00
380,2026-01-26 13:46:00,2026-01-26 15:51:00,short,49084.21,49152.81,48844.11,49152.81,sl,-70.6,-1089.21,-1.029,209453.73,new_york,aggressive,bearish,49127.81,49084.21,2026-01-26 11:35:00
381,2026-01-26 15:25:00,2026-01-26 15:50:00,short,49118.81,49144.71,49028.15999999999,49144.71,sl,-27.9,-1134.01,-1.077,208319.73,new_york,aggressive,bearish,49119.71,49118.81,2026-01-26 15:25:00
382,2026-01-26 15:52:00,2026-01-26 16:38:00,long,49138.21,49085.21,49323.71,49323.71,tp,183.5,3606.29,3.462,211926.02,new_york,aggressive,bullish,49138.21,49110.21,2026-01-26 15:50:00
383,2026-01-26 15:56:00,2026-01-26 16:31:00,long,49142.71,49116.71,49233.71,49233.71,tp,89.0,3565.47,3.423,215491.49,new_york,aggressive,bullish,49142.71,49141.71,2026-01-26 15:55:00
384,2026-01-26 16:35:00,2026-01-26 22:22:00,long,49234.9,49163.71,49484.06500000001,49484.06500000001,tp,247.17,3678.23,3.472,219169.72,new_york,aggressive,bullish,49234.9,49188.71,2026-01-26 16:35:00
385,2026-01-26 17:15:00,2026-01-26 17:31:00,long,49320.9,49262.95,49523.72500000002,49262.95,sl,-59.95,-1114.64,-1.035,218055.08,new_york,aggressive,bullish,49320.9,49287.95,2026-01-26 17:15:00
386,2026-01-26 17:33:00,2026-01-26 20:17:00,short,49320.95,49358.9,49188.124999999985,49358.9,sl,-39.95,-1128.37,-1.053,216926.7,new_york,aggressive,bearish,49333.9,49320.95,2026-01-26 17:30:00
387,2026-01-26 20:20:00,2026-01-26 23:05:00,long,49374.9,49326.9,49542.9,49326.9,sl,-50.0,-1110.67,-1.042,215816.03,new_york,aggressive,bullish,49374.9,49351.9,2026-01-26 20:20:00
388,2026-01-26 22:29:00,2026-01-26 22:55:00,long,49444.9,49414.4,49551.65,49414.4,sl,-32.5,-1155.76,-1.066,214660.28,new_york,aggressive,bullish,49444.9,49439.4,2026-01-26 22:10:00
389,2026-01-26 22:57:00,2026-01-26 23:05:00,short,49429.65,49457.6,49331.82500000001,49331.82500000001,tp,95.82,3698.79,3.428,218359.07,new_york,aggressive,bearish,49432.6,49429.65,2026-01-26 22:55:00
390,2026-01-27 13:55:00,2026-01-27 15:44:00,short,49270.41,49313.45,49119.770000000026,49119.770000000026,tp,148.64,3770.55,3.454,222129.62,new_york,aggressive,bearish,49288.45,49270.41,2026-01-27 13:55:00
391,2026-01-27 14:05:00,2026-01-27 14:27:00,short,49253.31,49279.41,49161.95999999998,49161.95999999998,tp,89.35,3737.62,3.423,225867.24,new_york,aggressive,bearish,49254.41,49253.31,2026-01-27 14:05:00
392,2026-01-27 14:30:00,2026-01-27 16:11:00,short,49180.31,49212.31,49068.31,49068.31,tp,110.0,3817.29,3.438,229684.53,new_york,aggressive,bearish,49187.31,49180.31,2026-01-27 14:25:00
393,2026-01-27 15:45:00,2026-01-27 16:31:00,short,49119.81,49160.31,48978.06,48978.06,tp,139.75,3896.91,3.451,233581.43,new_york,aggressive,bearish,49135.31,49119.81,2026-01-27 15:45:00
394,2026-01-27 16:30:00,2026-01-27 16:31:00,short,49103.31,49138.81,48979.06,48979.06,tp,122.25,3954.78,3.444,237536.21,new_york,aggressive,bearish,49113.81,49103.31,2026-01-27 15:50:00
395,2026-01-27 17:01:00,2026-01-27 17:05:00,short,49025.45,49051.5,48934.27499999999,48934.27499999999,tp,89.18,4065.7,3.423,241601.91,new_york,aggressive,bearish,49026.5,49025.45,2026-01-27 17:00:00
396,2026-01-27 17:05:00,2026-01-27 18:00:00,short,48983.45,49030.45,48818.95,49030.45,sl,-49.0,-1259.41,-1.043,240342.5,new_york,aggressive,bearish,49005.45,48983.45,2026-01-27 17:05:00
397,2026-01-27 17:10:00,2026-01-27 17:46:00,short,48975.45,49004.45,48873.95,49004.45,sl,-31.0,-1291.32,-1.069,239051.18,new_york,aggressive,bearish,48979.45,48975.45,2026-01-27 17:10:00
398,2026-01-27 17:54:00,2026-01-27 19:16:00,long,48993.0,48938.5,49183.75,48938.5,sl,-56.5,-1245.65,-1.037,237805.53,new_york,aggressive,bullish,48993.0,48963.5,2026-01-27 17:50:00
399,2026-01-27 18:04:00,2026-01-27 18:31:00,long,49021.95,48995.5,49114.52499999999,49114.52499999999,tp,90.57,4093.02,3.424,241898.55,new_york,aggressive,bullish,49021.95,49020.5,2026-01-27 18:00:00
400,2026-01-27 18:35:00,2026-01-27 18:54:00,long,49122.45,49088.45,49241.45,49088.45,sl,-36.0,-1287.23,-1.059,240611.31,new_york,aggressive,bullish,49122.45,49113.45,2026-01-27 18:35:00
401,2026-01-27 18:54:00,2026-01-27 19:05:00,long,49080.45,49026.45,49269.45,49026.45,sl,-56.0,-1254.07,-1.037,239357.24,new_york,aggressive,bullish,49080.45,49051.45,2026-01-27 18:20:00
