trade_id,entry_time,exit_time,direction,entry_price,sl,tp,exit_price,exit_reason,pnl_points,pnl_usd,pnl_r,balance,session,entry_method,fvg_type,fvg_zone_high,fvg_zone_low,fvg_confirmed_at,date
2865,2025-08-07 10:47:00,2025-08-07 10:58:00,short,44254.3,44281.8,44199.3,44281.8,sl,-29.5,-53.64,-1.073,44507.27,london,conservative,bearish,44256.8,44254.3,2025-08-07 05:20:00,2025-08-07
2866,2025-08-07 11:14:00,2025-08-07 12:32:00,long,44313.8,44259.3,44422.8,44422.8,tp,107.0,98.17,1.963,44605.43,london,conservative,bullish,44313.8,44284.3,2025-08-07 11:05:00,2025-08-07
2867,2025-08-07 11:46:00,2025-08-07 12:11:00,short,44322.8,44362.8,44242.8,44362.8,sl,-42.0,-52.5,-1.05,44552.93,london,conservative,bearish,44337.8,44322.8,2025-08-07 11:40:00,2025-08-07
2868,2025-08-07 12:11:00,2025-08-07 12:24:00,long,44333.8,44304.3,44392.8,44392.8,tp,57.0,96.61,1.932,44649.54,london,conservative,bullish,44333.8,44329.3,2025-08-07 11:55:00,2025-08-07
2869,2025-08-07 13:01:00,2025-08-07 14:59:00,long,44430.8,44395.8,44500.8,44395.8,sl,-37.0,-52.86,-1.057,44596.68,london,conservative,bullish,44430.8,44420.8,2025-08-07 12:55:00,2025-08-07
2870,2025-08-07 13:24:00,2025-08-07 14:36:00,long,44457.3,44423.8,44524.3,44423.8,sl,-35.5,-52.99,-1.06,44543.7,london,conservative,bullish,44457.3,44448.8,2025-08-07 13:15:00,2025-08-07
2871,2025-08-07 14:41:00,2025-08-07 16:32:00,short,44433.3,44482.8,44334.3,44482.8,sl,-51.5,-52.02,-1.04,44491.68,london,conservative,bearish,44457.8,44433.3,2025-08-07 14:35:00,2025-08-07
2872,2025-08-07 16:16:00,2025-08-07 16:31:00,long,44438.3,44410.8,44493.3,44410.8,sl,-29.5,-53.64,-1.073,44438.04,london,conservative,bullish,44438.3,44435.8,2025-08-07 16:10:00,2025-08-07
2873,2025-08-07 16:47:00,2025-08-07 16:54:00,long,44350.8,44316.8,44418.8,44316.8,sl,-36.0,-52.94,-1.059,44385.1,london,conservative,bullish,44350.8,44341.8,2025-08-07 12:10:00,2025-08-07
2874,2025-08-07 17:01:00,2025-08-07 17:04:00,short,44369.0,44415.5,44276.0,44276.0,tp,91.0,97.85,1.957,44482.95,london,conservative,bearish,44390.5,44369.0,2025-08-07 16:50:00,2025-08-07
