trade_id,type,entry_time,entry_price,exit_time,exit_price,original_stop_loss,stop_loss,take_profit,pnl_points_gross,spread_cost,pnl_points_net,planned_risk_pts,r_multiple,pnl_usd,pnl_pct,status,be_activated,trailing_activated,rr_ratio,pattern,confidence,max_favorable,max_adverse
19,short,2026-03-11 16:32:00,47658.5,2026-03-11 16:32:00,47638.31,47638.31,47638.31,47548.9,20.19000000000233,2,18.19000000000233,20.19000000000233,0.9009410599306702,450.4705299653351,0.44498839611150054,closed_sl,False,False,6.025288620120095,pin_bar_bearish,0.8999999999999999,11.0,0.0
20,short,2026-03-11 16:33:00,47646.5,2026-03-11 16:33:00,47638.31,47638.31,47638.31,47545.9,8.190000000002328,2,6.190000000002328,8.190000000002328,0.7557997557998252,377.8998778999126,0.37164712738930056,closed_sl,False,False,10.946681175187493,pin_bar_bearish,0.8181818181818181,36.5,0.0
21,long,2026-03-23 13:35:00,45251.31,2026-03-23 13:39:00,45230.31,45230.31,45230.31,45289.81,-21.0,2,-23.0,21.0,-1.0952380952380953,-547.6190476190477,-0.5365639904771515,closed_sl,False,False,1.711111111111111,pin_bar_bullish,0.7,30.5,39.0
22,long,2026-03-23 13:48:00,45213.31,2026-03-23 13:48:00,45230.31,45230.31,45230.31,45290.81,17.0,2,15.0,17.0,0.8823529411764706,441.1764705882353,0.4346021410981434,closed_sl,False,False,4.696969696969697,pin_bar_bullish,0.7928571428571428,0.0,12.5
23,long,2026-03-23 13:50:00,45199.31,2026-03-23 13:50:00,45230.31,45230.31,45230.31,45290.31,31.0,2,29.0,31.0,0.9354838709677419,467.7419354838709,0.4587778739271028,closed_sl,False,False,3.033333333333333,pin_bar_bullish,0.8999999999999999,104.5,0.0
24,long,2026-03-23 13:53:00,45261.81,2026-03-23 14:00:00,45295.31,45230.31,45230.31,45295.31,33.5,2,31.5,31.5,1.0,500.0,0.4881780743110831,closed_tp,False,False,1.2181818181818183,pin_bar_bullish,0.6,55.5,9.0
25,long,2026-03-24 16:10:00,45861.41,2026-03-24 16:10:00,45876.31,45876.31,45876.31,45922.9,14.89999999999418,2,12.89999999999418,14.89999999999418,0.8657718120804845,432.8859060402422,0.420597550989249,closed_sl,False,False,4.270138888890473,pin_bar_bullish,0.8999999999999999,13.0,0.0
26,long,2026-03-24 16:20:00,45882.91,2026-03-24 16:20:00,45876.31,45876.31,45876.31,45923.9,-6.600000000005821,2,-8.60000000000582,6.600000000005821,-1.3030303030300359,-651.5151515150179,-0.6303692389580362,closed_sl,False,False,6.719672131140795,pin_bar_bullish,0.75,0.0,14.5
27,long,2026-03-24 16:22:00,45869.41,2026-03-24 16:22:00,45876.31,45876.31,45876.31,45922.4,6.899999999994179,2,4.899999999994179,6.899999999994179,0.7101449275359873,355.07246376799367,0.3457274075578556,closed_sl,False,False,8.981355932211905,pin_bar_bullish,0.8999999999999999,3.0,0.0
28,long,2026-03-24 16:23:00,45873.41,2026-03-24 16:23:00,45876.31,45876.31,45876.31,45924.4,2.8999999999941792,2,0.8999999999941792,2.8999999999941792,0.3103448275848226,155.1724137924113,0.15056791841059555,closed_sl,False,False,13.074358974377965,pin_bar_bullish,0.8499999999999999,24.5,0.0
29,long,2026-03-24 16:31:00,45862.6,2026-03-24 16:31:00,45876.31,45876.31,45876.31,45920.4,13.709999999999127,2,11.709999999999127,13.709999999999127,0.8541210795040024,427.0605397520012,0.4137651976160598,closed_sl,False,False,5.396825396826109,pin_bar_bullish,0.8999999999999999,0.0,10.5
30,long,2026-03-24 16:32:00,45850.6,2026-03-24 16:32:00,45876.31,45876.31,45876.31,45921.9,25.709999999999127,2,23.709999999999127,25.709999999999127,0.9222092570984026,461.1046285492013,0.44490854168752375,closed_sl,False,False,2.945064023131164,pin_bar_bullish,0.6642857142857144,31.0,0.0
31,long,2026-03-24 16:33:00,45878.1,2026-03-24 16:33:00,45876.31,45876.31,45876.31,45919.9,-1.7900000000008731,2,-3.790000000000873,1.7900000000008731,-2.1173184357536448,-1058.6592178768224,-1.0169498058251907,closed_sl,False,False,7.901701323250664,engulfing_bullish,0.8999999999999999,12.5,0.0
32,long,2026-03-24 16:35:00,45895.6,2026-03-24 16:35:00,45876.31,45876.31,45876.31,45923.9,-19.290000000000873,2,-21.290000000000873,19.290000000000873,-1.1036806635562422,-551.8403317781211,-0.5355449641936109,closed_sl,False,False,1.5061202767430333,pin_bar_bullish,0.655,0.0,2.0
33,long,2026-03-24 16:36:00,45894.6,2026-03-24 16:36:00,45876.31,45876.31,45876.31,45924.4,-18.290000000000873,2,-20.290000000000873,18.290000000000873,-1.1093493712411102,-554.6746856205551,-0.5411939590131736,closed_sl,False,False,1.7235396182765417,pin_bar_bullish,0.7,0.0,31.0
34,long,2026-03-24 16:39:00,45893.6,2026-03-24 16:39:00,45876.31,45876.31,45876.31,45922.9,-17.290000000000873,2,-19.290000000000873,17.290000000000873,-1.1156737998843202,-557.8368999421601,-0.5472409543598632,closed_sl,False,False,1.6469926925239726,pin_bar_bullish,0.5909090909090909,0.0,62.0
35,long,2026-03-24 16:44:00,45860.6,2026-03-24 16:44:00,45876.31,45876.31,45876.31,45923.9,15.709999999999127,2,13.709999999999127,15.709999999999127,0.872692552514315,436.3462762571575,0.43041340728420424,closed_sl,False,False,3.904996915484659,pin_bar_bullish,0.8999999999999999,0.0,19.720000000001164
36,long,2026-03-24 16:51:00,45816.6,2026-03-24 16:51:00,45876.31,45876.31,45876.31,45922.4,59.70999999999913,2,57.70999999999913,59.70999999999913,0.9665047730698371,483.2523865349185,0.4746388400958537,closed_sl,False,False,1.802078010560458,engulfing_bullish,0.47058823529411764,7.0,0.0
37,long,2026-03-24 16:56:00,45852.6,2026-03-24 16:56:00,45876.31,45876.31,45876.31,45924.4,23.709999999999127,2,21.709999999999127,23.709999999999127,0.9156474061577362,457.8237030788681,0.44753920554109794,closed_sl,False,False,2.9057061918253924,engulfing_bullish,0.6588235294117646,9.0,0.0
38,long,2026-03-24 16:59:00,45885.1,2026-03-24 16:59:00,45876.31,45876.31,45876.31,45919.9,-8.790000000000873,2,-10.790000000000873,8.790000000000873,-1.2275312855517408,-613.7656427758704,-0.5973049102914827,closed_sl,False,False,2.831570382424771,pin_bar_bullish,0.8,21.5,0.0
39,short,2026-03-25 16:38:00,46667.1,2026-03-25 16:38:00,46619.91,46619.91,46619.91,46561.2,47.18999999999505,2,45.18999999999505,47.18999999999505,0.9576181394363168,478.8090697181584,0.4687677436760527,closed_sl,False,False,2.1528766009353957,engulfing_bearish,0.5549295774647887,2.0,0.0
40,short,2026-03-25 16:43:00,46648.6,2026-03-25 16:43:00,46619.91,46619.91,46619.91,46562.7,28.689999999995052,2,26.689999999995052,28.689999999995052,0.930289299407447,465.1446497037235,0.45326512581871603,closed_sl,False,False,2.9427886262424123,pin_bar_bearish,0.8,53.5,0.0
41,short,2026-03-26 17:08:00,46495.0,2026-03-26 17:08:00,46446.21,46446.21,46446.21,46423.4,48.79000000000087,2,46.79000000000087,48.79000000000087,0.9590079934412797,479.50399672063986,0.46514938352389895,closed_sl,False,False,1.4982213852269772,pin_bar_bearish,0.42,42.5,0.0
42,short,2026-03-26 17:09:00,46453.5,2026-03-26 17:09:00,46446.21,46446.21,46446.21,46423.4,7.290000000000873,2,5.290000000000873,7.290000000000873,0.7256515775034622,362.8257887517311,0.35033451970703167,closed_sl,False,False,4.785373608902125,engulfing_bearish,0.8999999999999999,0.0,27.5
43,short,2026-03-26 17:17:00,46515.0,2026-03-26 17:20:00,46457.31,46527.5,46527.5,46457.31,57.69000000000233,2,55.69000000000233,12.5,4.455200000000186,2227.600000000093,2.143399714935222,closed_tp,False,False,4.807500000000194,pin_bar_bearish,0.8999999999999999,46.5,0.0
44,short,2026-03-26 17:27:00,46474.0,2026-03-26 17:27:00,46446.21,46446.21,46446.21,46421.4,27.790000000000873,2,25.790000000000873,27.790000000000873,0.9280316660669328,464.0158330334664,0.43710769334573624,closed_sl,False,False,1.8270232719693278,pin_bar_bearish,0.60625,6.94999999999709,0.0
45,short,2026-03-26 17:30:00,46450.55,2026-03-26 17:30:00,46446.21,46446.21,46446.21,46422.9,4.3400000000037835,2,2.3400000000037835,4.3400000000037835,0.5391705069128442,269.5852534564221,0.2528468719275344,closed_sl,False,False,7.2005208333266175,engulfing_bearish,0.8999999999999999,0.0,25.44999999999709
46,short,2026-03-26 17:37:00,46490.5,2026-03-26 17:37:00,46446.21,46446.21,46446.21,46422.9,44.29000000000087,2,42.29000000000087,44.29000000000087,0.9548430797019652,477.42153985098264,0.4466493929204323,closed_sl,False,False,1.5437314455354463,pin_bar_bearish,0.7,11.5,0.0
47,short,2026-03-26 17:41:00,46478.5,2026-03-26 17:41:00,46446.21,46446.21,46446.21,46421.4,32.29000000000087,2,30.290000000000873,32.29000000000087,0.9380613192939007,469.03065964695037,0.4368481661909101,closed_sl,False,False,1.7152297987382712,pin_bar_bearish,0.7,20.0,0.0
