trade_id,type,entry_time,entry_price,exit_time,exit_price,stop_loss,take_profit,pnl,pnl_pct,status,be_activated,trailing_activated,rr_ratio,pattern,confidence,max_favorable,max_adverse
307,long,2026-03-20 19:45:00,45789.45,2026-03-20 19:50:00,45914.9,45914.9,46082.21,125.45000000000437,0.08377281507042816,closed_sl,False,False,2.333678756476619,pin_bar_bullish,0.8,6.5,0.0
308,long,2026-03-20 19:50:00,45795.95,2026-03-20 19:55:00,45914.9,45914.9,46082.21,118.95000000000437,0.07936576776622487,closed_sl,False,False,2.406557377049109,pin_bar_bullish,0.8,31.0,0.0
309,long,2026-03-20 20:05:00,45867.9,2026-03-20 20:10:00,45914.9,45914.9,46082.21,47.0,0.03133445092874966,closed_sl,False,False,4.559787234042504,pin_bar_bullish,0.8999999999999999,0.0,58.0
310,long,2026-03-20 20:20:00,45841.0,2026-03-20 20:25:00,45914.9,45914.9,46082.21,73.90000000000146,0.0492529907529017,closed_sl,False,False,3.2640054127198157,engulfing_bullish,0.8999999999999999,0.0,17.94999999999709
311,long,2026-03-20 20:50:00,45778.55,2026-03-20 20:55:00,45914.9,45914.9,46082.21,136.34999999999854,0.09083003059975997,closed_sl,False,False,2.227062706270623,engulfing_bullish,0.6499999999999999,0.0,0.5
312,long,2026-03-20 21:10:00,45711.0,2026-03-20 21:15:00,45914.9,45914.9,46082.21,203.90000000000146,0.13570543866666618,closed_sl,False,False,1.8205492888670745,pin_bar_bullish,0.5075916230364793,0.0,18.0
313,long,2026-03-20 22:50:00,45585.0,2026-03-20 22:55:00,45914.9,45914.9,46082.21,329.90000000000146,0.2192670538457142,closed_sl,False,False,1.5071536829342131,engulfing_bullish,0.7,20.0,0.0
314,long,2026-03-20 23:30:00,45706.28,2026-03-20 23:35:00,45914.9,45914.9,46082.21,208.62000000000262,0.13835529496497465,closed_sl,False,False,1.8019844693701255,engulfing_bullish,0.6142857142857142,32.5,0.0
315,long,2026-03-23 02:05:00,45605.71,2026-03-23 02:10:00,45914.9,45914.9,46082.21,309.1900000000023,0.2047692919839641,closed_sl,False,False,1.5411235809696187,pin_bar_bullish,0.7,13.0,0.0
316,long,2026-03-23 04:20:00,45581.21,2026-03-23 04:25:00,45914.9,45914.9,46082.21,333.6900000000023,0.22054346260704788,closed_sl,False,False,1.501393508945418,pin_bar_bullish,0.7,12.0,0.0
317,long,2026-03-23 04:25:00,45593.21,2026-03-23 04:30:00,45914.9,45914.9,46082.21,321.6900000000023,0.21214451335160567,closed_sl,False,False,1.5200969877832586,engulfing_bullish,0.7,1.5,0.0
318,short,2026-03-23 15:35:00,46329.31,2026-03-23 15:40:00,46349.81,46349.81,46196.1,-20.5,-0.013490490750491739,closed_sl,False,False,6.498048780487762,pin_bar_bearish,0.8999999999999999,0.0,254.5
319,short,2026-03-23 15:50:00,46565.81,2026-03-23 15:55:00,46585.0,46585.0,46374.21,-19.19000000000233,-0.01263011935298396,closed_sl,False,False,9.984366857737118,pin_bar_bearish,0.6878048780487804,0.0,15.0
320,short,2026-03-23 16:00:00,46525.31,2026-03-23 16:20:00,46374.21,46585.0,46374.21,151.09999999999854,0.0994607659861281,closed_tp,True,True,2.531412296867024,engulfing_bearish,0.8,115.0,0.0
321,short,2026-03-23 16:40:00,46387.0,2026-03-23 16:45:00,46349.81,46349.81,46196.1,37.19000000000233,0.024455794458222397,closed_sl,False,False,5.133100295778153,pin_bar_bearish,0.8999999999999999,0.0,24.0
322,short,2026-03-23 17:25:00,46520.0,2026-03-23 17:45:00,46585.0,46585.0,46374.21,-65.0,-0.04273293839770792,closed_sl,False,False,2.2429230769230903,engulfing_bearish,0.8,27.0,68.0
323,short,2026-03-23 18:05:00,46695.5,2026-03-23 18:10:00,46585.0,46585.0,46374.21,110.5,0.07267705231609896,closed_sl,False,False,2.907601809954759,pin_bar_bearish,0.8,3.5,0.0
