confirmed_at,ob_type,zone_low,zone_high,zone_size,estado_final,entry_time,exit_time,exit_reason,pnl_usd
2024-10-31 17:55:00,bearish,41852.01,41895.76,43.75,destruido,,,,
2024-10-31 19:15:00,bullish,41777.01,41801.01,24.0,destruido,,,,
2024-10-31 19:55:00,bullish,41862.51,41873.01,10.5,destruido,,,,
2024-10-31 20:45:00,bearish,41956.01,41982.01,26.0,expirado,,,,
2024-11-01 01:30:00,bullish,41768.13,41800.63,32.5,destruido,,,,
2024-11-01 02:30:00,bullish,41770.63,41787.63,17.0,destruido,,,,
2024-11-01 03:05:00,bearish,41803.13,41811.13,8.0,destruido,,,,
2024-11-01 05:35:00,bullish,41733.63,41766.13,32.5,expirado,,,,
2024-11-01 06:05:00,bullish,41790.38,41794.13,3.75,tocado,2024-11-01 10:24:00,2024-11-01 12:51:00,tp,123.08
2024-11-01 06:50:00,bullish,41811.63,41819.38,7.75,destruido,,,,
2024-11-01 09:20:00,bearish,41841.13,41854.88,13.75,tocado,2024-11-01 11:05:00,2024-11-01 12:51:00,sl,-52.33
2024-11-01 12:10:00,bullish,41846.73,41865.98,19.25,expirado,,,,
2024-11-01 13:55:00,bullish,41896.73,41903.23,6.5,expirado,,,,
2024-11-01 14:45:00,bullish,41941.48,41948.23,6.75,destruido,,,,
2024-11-01 16:15:00,bearish,41977.23,42015.23,38.0,tocado,2024-11-01 16:29:00,2024-11-01 16:36:00,sl,-52.01
2024-11-01 17:20:00,bullish,42051.48,42093.23,41.75,destruido,,,,
2024-11-01 18:30:00,bullish,42226.98,42259.23,32.25,destruido,,,,
2024-11-01 18:50:00,bearish,42300.23,42334.48,34.25,expirado,,,,
2024-11-01 20:30:00,bullish,42087.48,42144.48,57.0,destruido,,,,
2024-11-01 20:50:00,bearish,42194.23,42216.48,22.25,expirado,,,,
2024-11-01 22:30:00,bearish,42106.48,42162.48,56.0,expirado,,,,
2024-11-04 01:25:00,bullish,41925.54,41984.04,58.5,destruido,,,,
2024-11-04 02:05:00,bearish,41968.29,41981.04,12.75,destruido,,,,
2024-11-04 03:20:00,bullish,41920.29,41927.79,7.5,expirado,,,,
2024-11-04 06:15:00,bullish,42016.29,42021.29,5.0,destruido,,,,
2024-11-04 08:30:00,bullish,42040.29,42044.29,4.0,destruido,,,,
2024-11-04 09:50:00,bearish,42027.64,42043.64,16.0,destruido,,,,
2024-11-04 12:40:00,bullish,42081.64,42101.39,19.75,tocado,2024-11-04 13:30:00,2024-11-04 14:29:00,sl,-52.2
2024-11-04 14:35:00,bearish,42089.39,42097.89,8.5,expirado,,,,
2024-11-04 18:35:00,bearish,41920.64,41947.64,27.0,expirado,,,,
2024-11-04 19:30:00,bullish,41664.64,41679.39,14.75,expirado,,,,
2024-11-04 22:40:00,bearish,41816.64,41846.64,30.0,destruido,,,,
2024-11-05 01:20:00,bearish,41827.29,41845.29,18.0,destruido,,,,
2024-11-05 04:35:00,bullish,41815.8,41836.55,20.75,tocado,2024-11-05 10:16:00,2024-11-05 16:54:00,tp,123.46
2024-11-05 04:55:00,bearish,41851.3,41860.3,9.0,destruido,,,,
2024-11-05 06:50:00,bearish,41841.8,41852.8,11.0,destruido,,,,
2024-11-05 09:35:00,bearish,41884.15,41892.9,8.75,tocado,2024-11-05 10:58:00,2024-11-05 16:48:00,sl,-52.39
2024-11-05 10:35:00,bullish,41812.9,41843.9,31.0,expirado,,,,
2024-11-05 12:40:00,bullish,41825.65,41850.9,25.25,expirado,,,,
2024-11-05 14:00:00,bearish,41892.4,41902.15,9.75,destruido,,,,
2024-11-05 14:40:00,bearish,41855.9,41866.9,11.0,destruido,,,,
2024-11-05 15:35:00,bullish,41833.9,41854.9,21.0,expirado,,,,
2024-11-05 17:05:00,bullish,41851.15,41904.9,53.75,expirado,,,,
2024-11-05 17:50:00,bullish,42081.15,42142.15,61.0,tocado,2024-11-05 18:08:00,2024-11-06 02:18:00,tp,125.09
2024-11-05 19:20:00,bullish,42128.4,42145.15,16.75,expirado,,,,
2024-11-05 20:15:00,bearish,42253.65,42275.15,21.5,destruido,,,,
2024-11-05 20:40:00,bearish,42192.15,42235.15,43.0,destruido,,,,
2024-11-05 21:30:00,bearish,42190.15,42225.15,35.0,destruido,,,,
2024-11-05 22:00:00,bearish,42176.9,42193.15,16.25,destruido,,,,
2024-11-05 23:05:00,bullish,42152.4,42191.15,38.75,expirado,,,,
2024-11-05 23:40:00,bullish,42276.8,42288.8,12.0,expirado,,,,
2024-11-06 02:35:00,bullish,42317.05,42335.3,18.25,expirado,,,,
2024-11-06 04:55:00,bullish,42703.5,42743.3,39.8,expirado,,,,
2024-11-06 07:35:00,bullish,42718.3,42766.8,48.5,expirado,,,,
2024-11-06 08:30:00,bullish,42782.3,42806.3,24.0,expirado,,,,
2024-11-06 09:20:00,bullish,42950.05,42982.3,32.25,expirado,,,,
2024-11-06 10:40:00,bullish,43180.65,43204.9,24.25,expirado,,,,
2024-11-06 12:00:00,bullish,43361.9,43387.15,25.25,expirado,,,,
2024-11-06 13:45:00,bearish,43522.9,43527.9,5.0,destruido,,,,
2024-11-06 14:15:00,bullish,43406.65,43460.15,53.5,tocado,2024-11-06 16:03:00,2024-11-06 20:11:00,tp,126.55
2024-11-06 15:15:00,bearish,43606.4,43638.4,32.0,destruido,,,,
2024-11-06 15:50:00,bearish,43556.15,43570.15,14.0,tocado,2024-11-06 16:33:00,2024-11-06 16:42:00,sl,-53.17
2024-11-06 17:15:00,bullish,43415.65,43503.65,88.0,tocado,2024-11-06 17:54:00,2024-11-06 22:17:00,tp,126.22
2024-11-06 19:15:00,bullish,43583.65,43600.15,16.5,expirado,,,,
2024-11-06 20:15:00,bullish,43622.15,43657.4,35.25,expirado,,,,
2024-11-06 21:10:00,bearish,43732.15,43751.65,19.5,destruido,,,,
2024-11-06 22:15:00,bullish,43678.65,43707.4,28.75,expirado,,,,
2024-11-07 01:40:00,bullish,43794.51,43816.76,22.25,destruido,,,,
2024-11-07 03:30:00,bullish,43761.76,43770.76,9.0,expirado,,,,
2024-11-07 04:40:00,bearish,43816.76,43843.76,27.0,destruido,,,,
2024-11-07 05:20:00,bullish,43809.76,43820.76,11.0,destruido,,,,
2024-11-07 06:05:00,bearish,43862.76,43883.26,20.5,destruido,,,,
2024-11-07 06:55:00,bullish,43866.26,43872.01,5.75,destruido,,,,
2024-11-07 08:00:00,bullish,43867.26,43883.76,16.5,destruido,,,,
2024-11-07 09:30:00,bearish,43832.76,43863.11,30.35,destruido,,,,
2024-11-07 09:50:00,bullish,43806.36,43841.11,34.75,tocado,2024-11-07 11:39:00,2024-11-07 15:37:00,sl,-53.57
2024-11-07 12:20:00,bullish,43831.86,43838.36,6.5,tocado,2024-11-07 13:38:00,2024-11-07 15:32:00,sl,-54.59
2024-11-07 13:55:00,bullish,43829.86,43853.86,24.0,destruido,,,,
2024-11-07 15:25:00,bearish,43857.86,43881.86,24.0,expirado,,,,
2024-11-07 18:15:00,bearish,43800.11,43821.11,21.0,destruido,,,,
2024-11-07 19:15:00,bullish,43752.11,43764.11,12.0,destruido,,,,
2024-11-07 20:10:00,bearish,43821.11,43841.11,20.0,destruido,,,,
2024-11-07 21:30:00,bearish,43759.11,43802.11,43.0,destruido,,,,
2024-11-07 23:15:00,bullish,43762.11,43820.86,58.75,expirado,,,,
2024-11-08 02:05:00,bullish,43807.59,43813.34,5.75,destruido,,,,
2024-11-08 04:50:00,bearish,43798.59,43800.59,2.0,destruido,,,,
2024-11-08 05:15:00,bullish,43776.59,43779.59,3.0,destruido,,,,
2024-11-08 06:40:00,bearish,43788.34,43796.59,8.25,destruido,,,,
2024-11-08 07:30:00,bullish,43774.84,43776.59,1.75,destruido,,,,
2024-11-08 09:50:00,bullish,43800.94,43804.69,3.75,destruido,,,,
2024-11-08 10:10:00,bearish,43817.44,43825.19,7.75,tocado,2024-11-08 10:35:00,2024-11-08 16:29:00,sl,-53.95
2024-11-08 10:30:00,bullish,43776.69,43793.69,17.0,tocado,2024-11-08 10:49:00,2024-11-08 12:48:00,sl,-53.52
2024-11-08 10:55:00,bearish,43804.69,43820.69,16.0,destruido,,,,
2024-11-08 11:50:00,bearish,43798.69,43807.69,9.0,tocado,2024-11-08 13:41:00,2024-11-08 16:25:00,sl,-53.6
2024-11-08 15:45:00,bearish,43818.19,43832.69,14.5,destruido,,,,
2024-11-08 17:25:00,bullish,43884.94,43900.44,15.5,expirado,,,,
2024-11-08 19:10:00,bearish,43994.94,44016.94,22.0,destruido,,,,
2024-11-08 20:45:00,bullish,43981.44,44007.69,26.25,expirado,,,,
2024-11-08 22:30:00,bearish,44094.94,44109.69,14.75,expirado,,,,
2024-11-11 04:15:00,bullish,44068.25,44071.0,2.75,destruido,,,,
2024-11-11 04:50:00,bearish,44074.25,44080.25,6.0,destruido,,,,
2024-11-11 09:25:00,bullish,44092.25,44099.25,7.0,expirado,,,,
2024-11-11 11:35:00,bearish,44144.35,44161.35,17.0,destruido,,,,
2024-11-11 13:45:00,bullish,44199.35,44204.35,5.0,tocado,2024-11-11 15:41:00,2024-11-11 16:31:00,tp,124.3
2024-11-11 16:45:00,bullish,44203.35,44215.35,12.0,expirado,,,,
2024-11-11 18:15:00,bearish,44406.6,44436.6,30.0,tocado,2024-11-11 18:57:00,2024-11-12 12:17:00,tp,126.81
2024-11-11 20:55:00,bullish,44306.35,44332.1,25.75,destruido,,,,
2024-11-11 22:30:00,bearish,44345.85,44352.6,6.75,expirado,,,,
2024-11-12 03:05:00,bullish,44262.33,44271.58,9.25,destruido,,,,
2024-11-12 04:40:00,bearish,44291.58,44294.58,3.0,destruido,,,,
2024-11-12 07:45:00,bearish,44275.58,44282.33,6.75,destruido,,,,
2024-11-12 09:10:00,bearish,44277.58,44281.83,4.25,destruido,,,,
2024-11-12 09:40:00,bearish,44267.68,44276.68,9.0,destruido,,,,
2024-11-12 10:00:00,bullish,44253.18,44263.68,10.5,tocado,2024-11-12 10:17:00,2024-11-12 15:21:00,tp,126.13
2024-11-12 11:25:00,bearish,44304.43,44315.68,11.25,tocado,2024-11-12 13:02:00,2024-11-12 15:20:00,sl,-54.24
2024-11-12 13:20:00,bullish,44248.68,44266.68,18.0,tocado,2024-11-12 17:08:00,2024-11-12 17:28:00,sl,-54.04
2024-11-12 16:25:00,bearish,44399.68,44413.68,14.0,tocado,2024-11-12 16:29:00,2024-11-12 16:32:00,sl,-54.49
2024-11-12 16:45:00,bullish,44368.68,44379.68,11.0,destruido,,,,
2024-11-12 17:05:00,bearish,44421.43,44446.93,25.5,expirado,,,,
2024-11-12 20:45:00,bullish,43984.93,44008.93,24.0,destruido,,,,
2024-11-12 21:30:00,bearish,44163.93,44186.93,23.0,expirado,,,,
2024-11-12 22:05:00,bearish,44108.93,44135.93,27.0,expirado,,,,
2024-11-12 22:35:00,bearish,44070.93,44099.18,28.25,expirado,,,,
2024-11-13 01:30:00,bearish,43948.32,43955.07,6.75,destruido,,,,
2024-11-13 01:50:00,bullish,43915.07,43928.32,13.25,destruido,,,,
2024-11-13 04:35:00,bearish,43934.07,43941.82,7.75,destruido,,,,
2024-11-13 06:50:00,bearish,43918.07,43921.82,3.75,tocado,2024-11-13 12:10:00,2024-11-13 15:30:00,sl,-54.2
2024-11-13 07:45:00,bearish,43901.82,43909.32,7.5,tocado,2024-11-13 11:50:00,2024-11-13 15:30:00,sl,-53.96
2024-11-13 08:40:00,bearish,43844.07,43852.07,8.0,destruido,,,,
2024-11-13 09:15:00,bearish,43846.07,43864.07,18.0,tocado,2024-11-13 10:18:00,2024-11-13 11:49:00,sl,-53.76
2024-11-13 10:05:00,bearish,43837.17,43844.67,7.5,destruido,,,,
2024-11-13 12:20:00,bullish,43886.17,43899.17,13.0,destruido,,,,
2024-11-13 12:50:00,bearish,43927.17,43935.17,8.0,destruido,,,,
2024-11-13 17:25:00,bullish,43941.42,44027.92,86.5,tocado,2024-11-13 17:33:00,2024-11-14 17:19:00,sl,-51.84
2024-11-13 18:35:00,bullish,44062.42,44086.42,24.0,destruido,,,,
2024-11-13 21:05:00,bearish,44098.42,44116.17,17.75,expirado,,,,
2024-11-13 21:45:00,bearish,44059.42,44078.42,19.0,expirado,,,,
2024-11-14 02:00:00,bearish,44041.29,44060.54,19.25,expirado,,,,
2024-11-14 02:40:00,bullish,44014.04,44025.29,11.25,destruido,,,,
2024-11-14 05:35:00,bearish,43993.29,44003.54,10.25,destruido,,,,
2024-11-14 06:50:00,bearish,44007.79,44011.04,3.25,destruido,,,,
2024-11-14 07:15:00,bearish,43985.29,43991.29,6.0,destruido,,,,
2024-11-14 08:05:00,bullish,43957.54,43970.29,12.75,destruido,,,,
2024-11-14 08:55:00,bearish,43960.29,43971.29,11.0,destruido,,,,
2024-11-14 10:45:00,bullish,44028.39,44045.39,17.0,tocado,2024-11-14 10:51:00,2024-11-14 16:41:00,sl,-52.96
2024-11-14 15:20:00,bullish,44094.14,44101.39,7.25,destruido,,,,
2024-11-14 16:35:00,bearish,44110.89,44115.89,5.0,expirado,,,,
2024-11-14 18:00:00,bearish,43991.14,44030.64,39.5,tocado,2024-11-14 18:15:00,2024-11-14 19:49:00,tp,124.83
2024-11-14 18:25:00,bullish,43938.64,43980.64,42.0,destruido,,,,
2024-11-14 19:20:00,bearish,43905.64,43929.39,23.75,expirado,,,,
2024-11-14 20:10:00,bullish,43797.89,43897.64,99.75,destruido,,,,
2024-11-14 20:30:00,bearish,43888.64,43897.64,9.0,destruido,,,,
2024-11-14 22:15:00,bearish,43877.64,43932.64,55.0,expirado,,,,
2024-11-14 23:35:00,bullish,43724.29,43748.29,24.0,destruido,,,,
2024-11-15 01:15:00,bearish,43798.29,43804.29,6.0,expirado,,,,
2024-11-15 01:55:00,bearish,43753.88,43769.63,15.75,expirado,,,,
2024-11-15 02:40:00,bearish,43742.88,43751.88,9.0,expirado,,,,
2024-11-15 04:10:00,bearish,43689.88,43696.38,6.5,destruido,,,,
2024-11-15 05:25:00,bullish,43678.88,43690.88,12.0,destruido,,,,
2024-11-15 06:10:00,bearish,43709.88,43712.63,2.75,expirado,,,,
2024-11-15 06:30:00,bullish,43676.13,43685.88,9.75,destruido,,,,
2024-11-15 06:50:00,bearish,43695.13,43704.88,9.75,expirado,,,,
2024-11-15 07:40:00,bearish,43695.88,43704.88,9.0,expirado,,,,
2024-11-15 09:35:00,bearish,43606.98,43613.23,6.25,destruido,,,,
2024-11-15 10:50:00,bullish,43518.98,43562.98,44.0,tocado,2024-11-15 16:59:00,2024-11-15 17:08:00,sl,-52.12
2024-11-15 12:40:00,bullish,43579.98,43594.23,14.25,destruido,,,,
2024-11-15 13:25:00,bullish,43609.98,43613.98,4.0,destruido,,,,
2024-11-15 14:20:00,bullish,43618.98,43623.98,5.0,tocado,2024-11-15 15:58:00,2024-11-15 16:55:00,sl,-53.65
2024-11-15 15:20:00,bearish,43659.98,43676.48,16.5,tocado,2024-11-15 15:31:00,2024-11-15 17:00:00,tp,125.76
2024-11-15 16:10:00,bearish,43632.98,43655.48,22.5,expirado,,,,
2024-11-15 17:10:00,bearish,43618.23,43657.73,39.5,expirado,,,,
2024-11-15 19:10:00,bearish,43456.23,43498.23,42.0,destruido,,,,
2024-11-15 21:35:00,bearish,43436.23,43458.98,22.75,destruido,,,,
2024-11-18 02:00:00,bullish,43436.87,43442.87,6.0,destruido,,,,
2024-11-18 02:25:00,bullish,43443.87,43450.37,6.5,destruido,,,,
2024-11-18 03:05:00,bullish,43467.37,43471.87,4.5,destruido,,,,
2024-11-18 05:00:00,bearish,43471.87,43481.87,10.0,destruido,,,,
2024-11-18 08:25:00,bullish,43455.87,43467.87,12.0,destruido,,,,
2024-11-18 09:10:00,bearish,43492.87,43500.87,8.0,expirado,,,,
2024-11-18 09:35:00,bearish,43466.97,43472.97,6.0,destruido,,,,
2024-11-18 12:10:00,bearish,43392.97,43403.97,11.0,destruido,,,,
2024-11-18 13:30:00,bearish,43372.97,43389.72,16.75,tocado,2024-11-18 14:21:00,2024-11-18 14:45:00,sl,-53.18
2024-11-18 14:05:00,bullish,43290.97,43305.97,15.0,expirado,,,,
2024-11-18 14:45:00,bullish,43368.97,43376.97,8.0,tocado,2024-11-18 15:19:00,2024-11-18 17:22:00,sl,-53.3
2024-11-18 15:05:00,bearish,43417.97,43423.22,5.25,tocado,2024-11-18 15:47:00,2024-11-18 16:37:00,sl,-53.46
2024-11-18 15:45:00,bullish,43339.72,43374.97,35.25,tocado,2024-11-18 17:21:00,2024-11-19 11:24:00,sl,-52.11
2024-11-18 16:35:00,bearish,43418.97,43438.22,19.25,destruido,,,,
2024-11-18 17:25:00,bearish,43388.22,43451.22,63.0,destruido,,,,
2024-11-18 17:45:00,bullish,43328.22,43376.72,48.5,expirado,,,,
2024-11-18 20:40:00,bearish,43487.22,43496.22,9.0,destruido,,,,
2024-11-18 21:25:00,bearish,43435.22,43447.22,12.0,destruido,,,,
2024-11-18 21:55:00,bullish,43351.22,43374.22,23.0,expirado,,,,
2024-11-18 23:55:00,bullish,43399.87,43405.37,5.5,destruido,,,,
2024-11-19 01:35:00,bullish,43376.1,43386.6,10.5,expirado,,,,
2024-11-19 02:20:00,bullish,43409.1,43410.1,1.0,destruido,,,,
2024-11-19 03:55:00,bullish,43394.1,43403.1,9.0,destruido,,,,
2024-11-19 04:30:00,bullish,43419.1,43431.1,12.0,destruido,,,,
2024-11-19 05:05:00,bullish,43443.1,43449.85,6.75,tocado,2024-11-19 10:33:00,2024-11-19 10:37:00,sl,-52.81
2024-11-19 06:30:00,bullish,43501.35,43503.1,1.75,destruido,,,,
2024-11-19 06:55:00,bearish,43514.35,43521.85,7.5,expirado,,,,
2024-11-19 07:20:00,bearish,43496.35,43502.1,5.75,destruido,,,,
2024-11-19 09:10:00,bearish,43474.1,43479.1,5.0,destruido,,,,
2024-11-19 10:45:00,bearish,43488.7,43504.45,15.75,expirado,,,,
2024-11-19 11:25:00,bearish,43396.2,43424.45,28.25,expirado,,,,
2024-11-19 12:50:00,bullish,43166.2,43197.45,31.25,tocado,2024-11-19 12:51:00,2024-11-19 15:41:00,sl,-51.38
2024-11-19 14:10:00,bullish,43182.7,43190.2,7.5,destruido,,,,
2024-11-19 15:00:00,bullish,43201.95,43210.2,8.25,tocado,2024-11-19 15:16:00,2024-11-19 15:35:00,sl,-52.18
2024-11-19 16:20:00,bullish,42928.7,42942.95,14.25,expirado,,,,
2024-11-19 18:25:00,bullish,43194.95,43223.45,28.5,expirado,,,,
2024-11-19 20:55:00,bullish,43302.45,43323.45,21.0,destruido,,,,
2024-11-19 21:20:00,bearish,43408.45,43427.45,19.0,expirado,,,,
2024-11-20 02:10:00,bullish,43353.32,43364.82,11.5,destruido,,,,
2024-11-20 06:15:00,bullish,43345.82,43360.32,14.5,tocado,2024-11-20 12:31:00,2024-11-20 16:22:00,sl,-51.35
2024-11-20 07:00:00,bullish,43376.32,43381.82,5.5,destruido,,,,
2024-11-20 08:30:00,bullish,43384.32,43390.32,6.0,destruido,,,,
2024-11-20 09:05:00,bearish,43429.57,43445.32,15.75,destruido,,,,
2024-11-20 09:30:00,bearish,43421.32,43428.42,7.1,destruido,,,,
2024-11-20 10:45:00,bearish,43445.42,43458.42,13.0,tocado,2024-11-20 10:54:00,2024-11-20 16:21:00,tp,121.33
2024-11-20 12:30:00,bearish,43408.42,43425.42,17.0,destruido,,,,
2024-11-20 14:30:00,bullish,43373.42,43389.42,16.0,destruido,,,,
2024-11-20 14:55:00,bullish,43405.42,43417.42,12.0,destruido,,,,
2024-11-20 15:40:00,bearish,43446.92,43459.42,12.5,destruido,,,,
2024-11-20 16:15:00,bearish,43386.42,43401.42,15.0,destruido,,,,
2024-11-20 18:50:00,bullish,43144.92,43195.67,50.75,destruido,,,,
2024-11-20 19:15:00,bearish,43264.42,43306.67,42.25,destruido,,,,
2024-11-20 20:50:00,bearish,43219.67,43252.67,33.0,destruido,,,,
2024-11-20 21:45:00,bullish,43161.67,43176.67,15.0,expirado,,,,
2024-11-20 22:25:00,bullish,43227.42,43249.17,21.75,expirado,,,,
2024-11-21 01:20:00,bearish,43464.32,43491.82,27.5,expirado,,,,
2024-11-21 01:40:00,bullish,43397.19,43422.94,25.75,destruido,,,,
2024-11-21 02:15:00,bearish,43462.69,43465.94,3.25,destruido,,,,
2024-11-21 04:15:00,bullish,43345.44,43370.19,24.75,destruido,,,,
2024-11-21 04:45:00,bearish,43380.69,43387.44,6.75,destruido,,,,
2024-11-21 06:00:00,bearish,43400.44,43410.44,10.0,destruido,,,,
2024-11-21 06:50:00,bullish,43393.44,43400.69,7.25,destruido,,,,
2024-11-21 09:25:00,bearish,43445.69,43471.44,25.75,destruido,,,,
2024-11-21 13:15:00,bullish,43377.54,43388.54,11.0,tocado,2024-11-21 16:39:00,2024-11-21 16:48:00,tp,122.1
2024-11-21 14:10:00,bullish,43495.54,43503.54,8.0,destruido,,,,
2024-11-21 16:00:00,bearish,43632.54,43655.54,23.0,destruido,,,,
2024-11-21 17:50:00,bullish,43435.79,43538.29,102.5,expirado,,,,
2024-11-21 19:25:00,bullish,43760.29,43814.29,54.0,expirado,,,,
2024-11-21 19:55:00,bullish,43873.29,43891.29,18.0,destruido,,,,
2024-11-22 01:35:00,bullish,43865.42,43872.67,7.25,destruido,,,,
2024-11-22 01:55:00,bearish,43884.67,43889.17,4.5,destruido,,,,
2024-11-22 03:20:00,bullish,43878.67,43885.92,7.25,destruido,,,,
2024-11-22 05:20:00,bullish,43914.67,43918.67,4.0,destruido,,,,
2024-11-22 05:40:00,bearish,43935.67,43940.17,4.5,destruido,,,,
2024-11-22 06:05:00,bullish,43849.67,43874.67,25.0,destruido,,,,
2024-11-22 06:35:00,bullish,43881.67,43886.67,5.0,destruido,,,,
2024-11-22 07:15:00,bearish,43900.17,43908.17,8.0,destruido,,,,
2024-11-22 08:20:00,bullish,43866.67,43878.67,12.0,destruido,,,,
2024-11-22 09:15:00,bullish,43900.67,43908.67,8.0,tocado,2024-11-22 11:01:00,2024-11-22 11:11:00,sl,-52.66
2024-11-22 10:00:00,bearish,43958.77,43961.77,3.0,tocado,2024-11-22 15:22:00,2024-11-22 16:30:00,sl,-53.06
2024-11-22 11:10:00,bearish,43933.77,43940.02,6.25,tocado,2024-11-22 14:55:00,2024-11-22 16:30:00,sl,-52.85
2024-11-22 11:40:00,bearish,43841.77,43856.77,15.0,tocado,2024-11-22 13:53:00,2024-11-22 14:16:00,sl,-52.06
2024-11-22 12:00:00,bullish,43734.02,43746.77,12.75,tocado,2024-11-22 12:11:00,2024-11-22 14:00:00,tp,123.04
2024-11-22 12:45:00,bullish,43760.27,43769.27,9.0,expirado,,,,
2024-11-22 18:20:00,bearish,44139.02,44177.02,38.0,tocado,2024-11-22 18:39:00,2024-11-22 19:05:00,sl,-51.25
2024-11-22 19:05:00,bullish,44107.02,44142.02,35.0,expirado,,,,
2024-11-22 21:40:00,bullish,44169.02,44217.02,48.0,expirado,,,,
2024-11-25 01:15:00,bullish,44354.67,44358.67,4.0,expirado,,,,
2024-11-25 02:30:00,bullish,44531.19,44535.44,4.25,expirado,,,,
2024-11-25 03:05:00,bullish,44547.44,44554.19,6.75,expirado,,,,
2024-11-25 04:50:00,bullish,44577.94,44581.44,3.5,destruido,,,,
2024-11-25 07:40:00,bullish,44572.19,44576.94,4.75,destruido,,,,
2024-11-25 09:30:00,bearish,44576.44,44581.54,5.1,destruido,,,,
2024-11-25 09:55:00,bullish,44546.79,44558.54,11.75,expirado,,,,
2024-11-25 14:50:00,bullish,44570.54,44589.54,19.0,destruido,,,,
2024-11-25 15:55:00,bullish,44644.54,44654.54,10.0,destruido,,,,
2024-11-25 16:50:00,bullish,44651.54,44729.04,77.5,tocado,2024-11-25 17:16:00,2024-11-25 18:49:00,sl,-50.5
2024-11-25 19:25:00,bearish,44632.04,44679.29,47.25,destruido,,,,
2024-11-25 20:05:00,bullish,44540.79,44581.79,41.0,expirado,,,,
2024-11-25 20:50:00,bullish,44679.79,44691.79,12.0,destruido,,,,
