trade_id,entry_time,exit_time,direction,entry_price,sl,tp,exit_price,exit_reason,pnl_usd,pnl_r,balance,session,bb_high,bb_low,pnl_fixed
445,2025-04-01 22:53:00,2025-04-02 01:11:00,long,41928.4,41850.3,42084.6,42084.6,tp,100.0,2.0,11191.77,new_york,41924.4,41875.3,100.0
446,2025-04-02 10:48:00,2025-04-02 13:02:00,short,41898.7,41939.8,41816.499999999985,41816.499999999985,tp,100.0,2.0,11291.77,london,41914.8,41902.7,100.0
447,2025-04-02 16:46:00,2025-04-02 16:54:00,short,41860.7,41896.2,41789.7,41789.7,tp,100.0,2.0,11391.77,london,41871.2,41864.7,100.0
448,2025-04-02 16:55:00,2025-04-02 17:01:00,long,41791.0,41736.1,41900.8,41900.8,tp,100.0,2.0,11491.77,london,41787.0,41761.1,100.0
449,2025-04-02 17:23:00,2025-04-02 17:29:00,long,41921.8,41884.8,41995.8,41995.8,tp,100.0,2.0,11591.77,london,41917.8,41909.8,100.0
450,2025-04-02 18:56:00,2025-04-02 19:11:00,short,42028.9,42101.9,41882.9,42103.9,sl,-51.37,-1.027,11540.4,london,42076.9,42032.9,-51.349999999999994
451,2025-04-02 19:47:00,2025-04-02 19:50:00,long,42178.0,42130.9,42272.2,42272.2,tp,100.0,2.0,11640.4,new_york,42174.0,42155.9,100.0
452,2025-04-02 21:14:00,2025-04-02 22:34:00,short,42097.1,42182.5,41926.299999999996,42184.5,sl,-51.17,-1.023,11589.23,new_york,42157.5,42101.1,-51.15
453,2025-04-03 10:24:00,2025-04-03 10:39:00,short,41218.7,41264.4,41127.29999999999,41127.29999999999,tp,100.0,2.0,11689.23,london,41239.4,41222.7,100.0
454,2025-04-03 10:42:00,2025-04-03 11:31:00,short,41136.9,41252.4,40905.9,41254.4,sl,-50.87,-1.017,11638.36,london,41227.4,41140.9,-50.849999999999994
455,2025-04-03 11:33:00,2025-04-03 13:03:00,short,41240.0,41302.6,41114.8,41114.8,tp,100.0,2.0,11738.36,london,41277.6,41244.0,100.0
456,2025-04-03 16:53:00,2025-04-03 16:57:00,short,40940.5,41003.6,40814.3,40814.3,tp,100.0,2.0,11838.36,london,40978.6,40944.5,100.0
457,2025-04-03 18:59:00,2025-04-03 19:03:00,short,40899.8,40973.8,40751.8,40975.8,sl,-51.35,-1.027,11787.01,london,40948.8,40903.8,-51.349999999999994
458,2025-04-03 21:26:00,2025-04-03 21:41:00,short,40760.5,40818.3,40644.899999999994,40820.3,sl,-51.73,-1.035,11735.28,new_york,40793.3,40764.5,-51.74999999999999
459,2025-04-03 21:42:00,2025-04-03 22:17:00,short,40812.8,40913.6,40611.20000000001,40611.20000000001,tp,100.0,2.0,11835.28,new_york,40888.6,40816.8,100.0
460,2025-04-04 10:17:00,2025-04-04 10:56:00,long,40292.3,40237.6,40401.70000000001,40235.6,sl,-51.83,-1.037,11783.45,london,40288.3,40262.6,-51.849999999999994
461,2025-04-04 11:22:00,2025-04-04 11:43:00,short,40188.3,40242.0,40080.90000000001,40080.90000000001,tp,100.0,2.0,11883.45,london,40217.0,40192.3,100.0
462,2025-04-04 11:46:00,2025-04-04 13:09:00,short,40130.1,40225.1,39940.1,39940.1,tp,100.0,2.0,11983.45,london,40200.1,40134.1,100.0
463,2025-04-04 19:39:00,2025-04-04 20:11:00,short,38975.9,39107.8,38712.1,38712.1,tp,100.0,2.0,12083.45,new_york,39082.8,38979.9,100.0
464,2025-04-07 13:27:00,2025-04-07 13:38:00,long,37343.8,37240.4,37550.600000000006,37550.600000000006,tp,100.0,2.0,12183.45,london,37339.8,37265.4,100.0
465,2025-04-07 13:59:00,2025-04-07 14:03:00,long,37447.3,37399.3,37543.3,37543.3,tp,100.0,2.0,12283.45,london,37443.3,37424.3,100.0
466,2025-04-07 14:12:00,2025-04-07 15:10:00,long,37675.6,37385.1,38256.6,37383.1,sl,-50.34,-1.007,12233.11,london,37671.6,37410.1,-50.349999999999994
467,2025-04-07 15:20:00,2025-04-07 15:29:00,long,37335.3,37175.8,37654.3,37654.3,tp,100.0,2.0,12333.11,london,37331.3,37200.8,100.0
468,2025-04-07 15:32:00,2025-04-07 15:40:00,long,37615.1,37453.7,37937.9,37451.7,sl,-50.62,-1.012,12282.49,london,37611.1,37478.7,-50.6
469,2025-04-07 16:59:00,2025-04-07 17:10:00,short,37355.6,37525.3,37016.19999999999,37527.3,sl,-50.59,-1.012,12231.9,london,37500.3,37359.6,-50.6
470,2025-04-07 22:12:00,2025-04-07 22:37:00,long,37753.3,37603.7,38052.500000000015,38052.500000000015,tp,100.0,2.0,12331.9,new_york,37749.3,37628.7,100.0
471,2025-04-08 10:23:00,2025-04-08 10:26:00,short,38684.1,38735.0,38582.299999999996,38737.0,sl,-51.96,-1.039,12279.94,london,38710.0,38688.1,-51.949999999999996
472,2025-04-08 10:32:00,2025-04-08 10:48:00,long,38702.6,38644.4,38818.99999999999,38642.4,sl,-51.72,-1.034,12228.22,london,38698.6,38669.4,-51.7
473,2025-04-08 11:54:00,2025-04-08 12:56:00,long,38727.2,38664.1,38853.399999999994,38662.1,sl,-51.58,-1.032,12176.64,london,38723.2,38689.1,-51.6
474,2025-04-08 18:02:00,2025-04-08 18:12:00,short,38973.5,39032.0,38856.5,38856.5,tp,100.0,2.0,12276.64,london,39007.0,38977.5,100.0
475,2025-04-09 11:14:00,2025-04-09 11:31:00,long,37455.3,37368.3,37629.3,37366.3,sl,-51.15,-1.023,12225.49,london,37451.3,37393.3,-51.15
476,2025-04-09 11:42:00,2025-04-09 11:58:00,short,37471.1,37633.1,37147.1,37635.1,sl,-50.62,-1.012,12174.87,london,37608.1,37475.1,-50.6
477,2025-04-09 13:26:00,2025-04-09 14:00:00,long,37257.7,37008.8,37755.499999999985,37006.8,sl,-50.4,-1.008,12124.47,london,37253.7,37033.8,-50.4
478,2025-04-09 14:01:00,2025-04-09 14:02:00,long,37001.3,36847.7,37308.500000000015,36845.7,sl,-50.65,-1.013,12073.82,london,36997.3,36872.7,-50.64999999999999
479,2025-04-09 14:07:00,2025-04-09 14:15:00,short,36981.8,37122.3,36700.8,37124.3,sl,-50.71,-1.014,12023.11,london,37097.3,36985.8,-50.7
480,2025-04-09 16:01:00,2025-04-09 16:06:00,short,37183.1,37302.4,36944.49999999999,37304.4,sl,-50.84,-1.017,11972.27,london,37277.4,37187.1,-50.849999999999994
481,2025-04-09 16:29:00,2025-04-09 16:33:00,long,37201.7,37046.0,37513.09999999999,37513.09999999999,tp,100.0,2.0,12072.27,london,37197.7,37071.0,100.0
482,2025-04-09 19:53:00,2025-04-09 20:18:00,long,37881.1,37688.4,38266.49999999999,37686.4,sl,-50.52,-1.01,12021.75,new_york,37877.1,37713.4,-50.5
