trade_id,entry_time,exit_time,direction,entry_price,sl,tp,exit_price,exit_reason,pnl_usd,pnl_r,balance,session,bb_high,bb_low,pnl_fixed,month,date
1428,2026-01-12 16:53:00,2026-01-12 17:09:00,long,49297.3,49248.3,49395.3,49246.3,sl,-52.04,-1.041,19253.86,london,49293.3,49273.3,-52.05,2026-01,2026-01-12
1429,2026-01-13 01:03:00,2026-01-13 05:07:00,short,49528.9,49583.9,49418.9,49585.9,sl,-51.82,-1.036,19202.04,asia,49558.9,49532.9,-51.800000000000004,2026-01,2026-01-13
1430,2026-01-13 07:39:00,2026-01-13 11:45:00,long,49562.0,49524.5,49637.0,49522.5,sl,-52.67,-1.053,19149.37,asia,49558.0,49549.5,-52.65,2026-01,2026-01-13
1431,2026-01-13 13:51:00,2026-01-13 14:05:00,long,49590.0,49556.0,49658.0,49554.0,sl,-52.94,-1.059,19096.43,london,49586.0,49581.0,-52.949999999999996,2026-01,2026-01-13
1432,2026-01-13 21:09:00,2026-01-13 22:32:00,short,49203.3,49254.3,49101.3,49101.3,tp,100.0,2.0,19196.43,new_york,49229.3,49207.3,100.0,2026-01,2026-01-13
1433,2026-01-14 02:12:00,2026-01-14 03:11:00,long,49167.4,49133.9,49234.4,49131.9,sl,-52.99,-1.06,19143.44,asia,49163.4,49158.9,-53.0,2026-01,2026-01-14
1434,2026-01-14 06:25:00,2026-01-14 16:30:00,short,49088.4,49133.9,48997.4,49135.9,sl,-52.2,-1.044,19091.24,asia,49108.9,49092.4,-52.2,2026-01,2026-01-14
1435,2026-01-14 16:33:00,2026-01-14 16:36:00,long,49081.4,49035.4,49173.4,49173.4,tp,100.0,2.0,19191.24,london,49077.4,49060.4,100.0,2026-01,2026-01-14
1436,2026-01-14 17:04:00,2026-01-14 17:11:00,short,48996.4,49061.9,48865.4,49063.9,sl,-51.53,-1.031,19139.71,london,49036.9,49000.4,-51.55,2026-01,2026-01-14
1437,2026-01-14 18:51:00,2026-01-14 19:10:00,short,48888.6,48946.1,48773.6,48948.1,sl,-51.74,-1.035,19087.97,london,48921.1,48892.6,-51.74999999999999,2026-01,2026-01-14
1438,2026-01-14 22:29:00,2026-01-14 22:48:00,long,49109.6,49045.6,49237.6,49043.6,sl,-51.56,-1.031,19036.41,new_york,49105.6,49070.6,-51.55,2026-01,2026-01-14
1439,2026-01-15 03:02:00,2026-01-15 08:15:00,long,49096.3,49062.8,49163.3,49163.3,tp,100.0,2.0,19136.41,asia,49092.3,49087.8,100.0,2026-01,2026-01-15
1440,2026-01-15 09:15:00,2026-01-15 11:30:00,long,49121.3,49086.8,49190.3,49190.3,tp,100.0,2.0,19236.41,asia,49117.3,49111.8,100.0,2026-01,2026-01-15
