trade_id,entry_time,exit_time,direction,entry_price,sl,tp,exit_price,exit_reason,pnl_points,pnl_usd,pnl_r,balance,session,ob_zone_high,ob_zone_low,ob_confirmed_at,cum_pnl,peak,dd
46,2026-01-15 14:47:00,2026-01-15 15:01:00,long,49178.71,49143.85,49300.72,49143.85,sl,-36.86,-581.27,-1.057,109365.33,new_york,49185.9,49168.85,2026-01-15 14:25:00,9365.359999999999,9946.63,-581.2700000000004
47,2026-01-16 14:45:00,2026-01-16 16:41:00,long,49466.15,49402.01,49690.64,49402.01,sl,-66.14,-563.88,-1.031,108801.45,new_york,49466.15,49427.01,2026-01-16 14:45:00,8801.48,9946.63,-1145.1499999999996
48,2026-01-16 16:31:00,2026-01-16 16:35:00,short,49573.6,49598.31428571428,49487.1,49487.1,tp,84.5,1869.64,3.419,110671.09,new_york,49522.1,49512.1,2026-01-16 13:40:00,10671.119999999999,10671.119999999999,0.0
49,2026-01-16 18:56:00,2026-01-16 20:04:00,long,49383.15,49365.6,49444.57500000001,49444.57500000001,tp,59.43,1873.68,3.386,112544.78,new_york,49408.1,49390.6,2026-01-16 18:40:00,12544.8,12544.8,0.0
50,2026-01-19 16:31:00,2026-01-19 16:39:00,long,48904.65,48885.11,48973.04000000001,48885.11,sl,-21.54,-620.32,-1.102,111924.46,new_york,48925.7,48910.11,2026-01-19 14:45:00,11924.48,12544.8,-620.3199999999997
51,2026-01-19 17:36:00,2026-01-20 08:15:00,long,48918.7,48852.2,49151.45,48852.2,sl,-68.5,-576.45,-1.03,111348.0,new_york,48920.7,48877.2,2026-01-19 17:00:00,11348.029999999999,12544.8,-1196.7700000000004
52,2026-01-21 16:05:00,2026-01-21 16:10:00,short,48480.41,48498.124285714286,48418.41,48498.124285714286,sl,-19.71,-619.6,-1.113,110728.41,new_york,48452.91,48443.41,2026-01-21 14:45:00,10728.429999999998,12544.8,-1816.3700000000008
53,2026-01-21 18:58:00,2026-01-21 19:05:00,long,48777.1,48700.1,49046.6,48700.1,sl,-79.0,-568.02,-1.026,110160.38,new_york,48787.1,48725.1,2026-01-21 17:15:00,10160.409999999998,12544.8,-2384.3900000000012
54,2026-01-22 15:31:00,2026-01-22 16:30:00,long,49249.41,49206.91,49398.16,49398.16,tp,146.75,1901.89,3.453,112062.27,new_york,49251.51,49231.91,2026-01-22 15:30:00,12062.299999999997,12544.8,-482.5000000000018
55,2026-01-22 18:56:00,2026-01-22 21:45:00,long,49492.55,49454.05,49627.3,49454.05,sl,-40.5,-589.42,-1.052,111472.85,new_york,49493.05,49479.05,2026-01-22 18:50:00,11472.879999999997,12544.8,-1071.920000000002
56,2026-01-23 14:33:00,2026-01-23 15:16:00,long,49245.61,49222.7,49325.79500000001,49222.7,sl,-24.91,-606.02,-1.087,110866.83,new_york,49252.25,49247.7,2026-01-23 13:05:00,10866.859999999997,12544.8,-1677.9400000000023
57,2026-01-23 17:22:00,2026-01-23 17:49:00,short,49125.25,49148.264285714286,49044.7,49148.264285714286,sl,-25.01,-602.51,-1.087,110264.32,new_york,49136.7,49069.7,2026-01-23 17:20:00,10264.349999999997,12544.8,-2280.4500000000025
58,2026-01-23 17:55:00,2026-01-23 18:03:00,short,49172.25,49188.17571428572,49116.51,49188.17571428572,sl,-17.93,-620.56,-1.126,109643.77,new_york,49178.51,49141.51,2026-01-23 16:50:00,9643.789999999997,12544.8,-2901.010000000002
59,2026-01-26 15:31:00,2026-01-26 16:30:00,long,49100.81,49068.9,49212.49499999998,49212.49499999998,tp,109.68,1884.41,3.437,111528.17,new_york,49101.9,49093.9,2026-01-26 15:05:00,11528.199999999997,12544.8,-1016.6000000000022
60,2026-01-26 19:16:00,2026-01-26 19:44:00,short,49303.4,49319.828571428574,49245.9,49319.828571428574,sl,-18.43,-625.53,-1.122,110902.64,new_york,49344.4,49270.9,2026-01-26 18:10:00,10902.669999999996,12544.8,-1642.1300000000028
61,2026-01-27 18:16:00,2026-01-27 18:18:00,short,49056.45,49071.72142857142,49003.0,49071.72142857142,sl,-17.27,-627.13,-1.131,110275.51,new_york,49098.5,49028.0,2026-01-27 17:15:00,10275.539999999997,12544.8,-2269.260000000002
62,2026-01-27 19:16:00,2026-01-27 20:06:00,long,48924.45,48861.5,49144.77499999999,48861.5,sl,-64.95,-568.9,-1.032,109706.61,new_york,48934.45,48886.5,2026-01-27 17:50:00,9706.639999999998,12544.8,-2838.1600000000017
63,2026-01-29 16:01:00,2026-01-29 16:28:00,long,49008.51,48960.51,49176.51,48960.51,sl,-50.0,-571.39,-1.042,109135.23,new_york,49016.51,48985.51,2026-01-29 13:25:00,9135.249999999998,12544.8,-3409.550000000001
64,2026-01-29 19:21:00,2026-01-29 19:26:00,short,49061.15,49076.850000000006,49006.2,49006.2,tp,52.95,1840.35,3.373,110975.58,new_york,49085.7,49031.2,2026-01-29 17:15:00,10975.599999999999,12544.8,-1569.2000000000007
65,2026-01-29 19:52:00,2026-01-30 08:20:00,long,48839.2,48754.2,49136.7,48754.2,sl,-87.0,-567.93,-1.024,110407.65,new_york,48847.2,48779.2,2026-01-29 18:45:00,10407.669999999998,12544.8,-2137.130000000001
66,2026-01-30 15:24:00,2026-01-30 15:30:00,long,48831.51,48783.01,49001.26,48783.01,sl,-50.5,-574.8,-1.041,109832.84,new_york,48838.01,48808.01,2026-01-30 15:15:00,9832.869999999999,12544.8,-2711.9300000000003
67,2026-01-30 17:07:00,2026-01-30 17:26:00,short,48958.4,48980.654285714285,48880.51,48880.51,tp,75.89,1872.72,3.41,111705.56,new_york,49039.2,48905.51,2026-01-30 16:55:00,11705.589999999998,12544.8,-839.210000000001
68,2026-01-30 17:26:00,2026-01-30 17:54:00,long,48852.9,48809.2,49005.85000000002,48809.2,sl,-45.7,-584.09,-1.046,111121.47,new_york,48870.2,48834.2,2026-01-30 17:15:00,11121.499999999998,12544.8,-1423.300000000001
